";Listed price in an active market in€m;No listed price in an active market in€m;Total in€m;in%;Listed price in an active market in€m;No listed price in an active market in€m;Total in€m;in%
Shares;;5,19;34.5;;5,359;33.6
Europe;3,377;=;;0;2,084;-;;
Other;2,542;=;;0;3,275;-;;
Fixed-income securities;;6,454;37.6;;5,084;31.9
Government bonds;1,940;=;;0;2,340;-;;
Corporate bonds;4,514;=;;0;2,744;-;;
Share funds;202;=;202;12;166;-;166;1.0
Fixed-income funds;207;=;207;12;135;-;135;0.8
Mixed funds;=;=;-;0.0;64;-;64;0.4
Money market investments;984;=;984;57;1,572;-;1,572;9.9
Property;;1,509;8.8;;1,476;9.2
Direct investments;1,059;10;;0;-;n;;0
Indirect investments;46;394;;0;1,034;431;;
Insurance contracts;=;120;120;0.7;-;104;104;0.7
Bank balances;56;60;116;0.7;207;390;597;3.7
Other investments;561;1,087;1,648;9.6;184;1,216;1,400;8.8
Total;15,488;1,671;17,159;100.0;13,805;2,152;15,957;100.0"
