"in €m;Volume of services rendered 2023;Volume of services rendered 2022;Volume of services received 2023;Volume of services received 2022
time:matters (Shanghai) International Freight Forwarding Ltd., China;8;21;3;4
time:matters Americas, Inc., USA;12;19;1;0
time:matters Asia Pacific Pte. Ltd., Singapore;5;3;1;1
time:matters Courier Terminals GmbH, Germany;10;6;19;15
time:matters Netherlands B.V., Netherlands;5;7;1;1
Wings Handling Palma S.L., Spain;0;0;11;10
ZeroG GmbH, Germany;1;1;11;7
Joint ventures; ; ; ; 
Airfoil Services Sdn. Bhd., Malaysia;1;0;6;3
EME Aero Sp.z.o.o, Poland;2;1;461;279
Shanghai Pudong International Airport Cargo Terminal Co. Ltd., China;0;0;5;6
Spairliners GmbH, Germany;35;28;17;9
Star Alliance Services GmbH, Germany;1;1;5;5
Terminal 2 Gesellschaft mbH &amp; Co oHG, Germany;1;0;11;11
Terminal One Group Association, L.P., USA;5;3;10;10
Associated companies; ; ; ; 
Aircraft Maintenance and Engineering Corporation, China;11;7;1;2
HEICO Aerospace Holdings Corp., USA;0;1;12;9
AviationPower GmbH, Deutschland;0;0;8;3
AFS Aviation Fuel Services GmbH, Deutschland;0;0;7;7
Other affiliated companies; ; ; ; 
Shanghai Pudong International Airport Public Cargo Terminal Co. Ltd. (West), Shanghai, China;0;0;61;27"
