"Name, registered office;stake in%;share in%;reporting period
ORIX Himalia Corporation, Tokyo, Japan;0.00;0.00;
ORIX Lysithea Corporation, Tokyo, Japan;0.00;0.00;
ORIX Miranda Corporation, Tokyo, Japan;0.00;0.00;
ORIX Telesto Corporation, Tokyo, Japan;0.00;0.00;
Schloss Leasing Co. Ltd., Tokyo, Japan;0.00;0.00;
SL Aurora Ltd., Tokyo, Japan;0.00;0.00;
SL Prairie Ltd., Tokyo, Japan;0.00;0.00;
SL Victoria Ltd., Tokyo, Japan;0.00;0.00;
SMFLY Lease Nin-i-Kumiai, Tokyo, Japan;0.00;0.00;
SMFLY Lease Nin-i-Kumiai Two, Tokyo, Japan;0.00;0.00;
SN Airholding SA/NV, Brissel, Belgium;100.00;100.00;
Swiss International Air Lines AG, Basel, Switzerland;100.00;100.00;
Sylvaner Leasing Co. Ltd., Tokyo, Japan;0.00;0.00;
Tancho Leasing Co., Ltd., Tokyo, Japan;0.00;0.00;
TI DC Leasing Co. Ltd., Tokyo, Japan;0.00;0.00;
TIDD Leasing Co. Ltd., Tokyo, Japan;0.00;0.00;
TimBenNico Finance 2011 S.N.C., Puteaux, France;0.00;0.00;
TLC Amaryllis Ltd., Tokyo, Japan;0.00;0.00;
TLC Lavender Ltd., Tokyo, Japan;0.00;0.00;
TLC Petunia Ltd., Tokyo, Japan;0.00;0.00;
TLC Salvia Ltd., Tokyo, Japan;0.00;0.00;
TLC Sweetpea Ltd., Tokyo, Japan;0.00;0.00;
Tusker Leasing Co., Ltd., Tokyo, Japan;0.00;0.00;
Yarnasa Aircraft LH12 Kumiai, Okayama, Japan;0.00;0.00;
Yarnasa Aircraft LH13 Kumiai, Okayama, Japan;0.00;0.00;
Yarnasa Aircraft LH14 Kumiai, Okoyama, Japan;0.00;0.00;
Yarnasa Aircraft LH15 Kumiai, Okayama, Japan;0.00;0.00;
Yamasa Aircraft LH16 Kumiai, Okayama, Japan;0.00;0.00;
Yarnasa Aircraft LH17 Kumiai, Okayama, Japan;0.00;0.00;
Yarnasa Aircraft LH18 Kumiai, Okayama, Japan;0.00;0.00;
Yarnasa Aircraft LH19 Kumiai, Okayama, Japan;0.00;0.00;
Yarnasa Aircraft LH20 Kumiai, Okayama, Japan;0.00;0.00;
Yarnasa Aircraft LH21 Kumiai, Okayama, Japan;0.00;0.00;
Yarasa Aircraft LH22 Kumiai, Okayama, Japan;0.00;0.00;"
