"in € thousands;Chairman since 1 May 2014; Member of the Executive Board since 1 Jan 2011;Christina Foerster Member of the Executive Board since 1 Jan 2020;Harry Hohmeister Member of the Executive Board since 1 Jan 2013
;2023;2023”;2022;20221;2023;2023”;2022;2022);2023;2023”;2022;20221
Fixed remuneration;;;;;;;;
Basic salary;1,892;M.3%;1,634;38.5%;860;40.6%;860;44.6%;860;40.4%;860;38.1%
Ancillary benefits;51;11%;38;0.9%;39;1.8%;27;14%;47;2.2%;34;1.5%
Total;1,943;42.5%;1,672;39.4%;899;42.4%;887;46.0%;907;42.6%;894;39.6%
Variable remuneration;;;;;;;;
One-year variable remuneration;2,313;50.5%;2,280;53.8%;1,051;49.6%;1,042;54.0%;1,051;49.4%;1,200;53.1%
Long-term variable remuneration;=;;;=;;;=;;;
LTI 2020 (2019);321;7.0%;199;47%;169;8.0%;7;;169;79%;104;4.6%
Option programme LH-Performance 2018;=;;;90;2.1%;=;;;60;2.7%
Total;2,634;57.5%;2,569;60.6%;1,220;57.6%;1,042;54.0%;1,220;57.4%;1,364;60.4%
Total remuneration as defined in Section 162 AktG;4,577;100.0%;4,241;100.0%;2,119;100.0%;1,929;100.0%;2,127;100.0%;2,258;100.0%
Service cost Total remuneration;996;=;865;=;457;=;459;=;450;=;451;=
;5,573;-;5,106;-;2,576;-;2,388;-;2,577;-;2,709;-"
