"Sustainability levers - Manufacturing Industries sector;mitigation;economy
Improve operations during the product design and engineering phases;v;v
Select less carbon-intensive alternative materials in smaller quantities;v;v
Purchasing less carbon-intensive materials or compounds from alternative suppliers;v;v
Reduce the energy required during the production phase;v;
Reduce material waste during the production phase;v;v
Improve transport and distribution of semi-finished and finished products;v;
Reduce a product's energy consumption during its use phase;v;
Extending a product's lifespan;v;v
Change the nature of the energy used by the product during its use phase (e.g. electrification);v;
Apply the Reduce, Reuse, Recycle, Renovate. (RRRR) at the end of the product life cycle;v;v"
