"Financial year 2023;za $8 cy 3 0;5 s 5 € 5 e;Year a 8 8 5 3 3 5 e S 5 6 6s = s &amp; £ a;- € e 2 2 5 2 s &amp; = 7];g a &amp; B® e 2 2 5 2 8 4 = 7];Substantial ¢ 3 g — Fy 3s 2 s s 2 8 =;#2 € 2 § U8 5 63 2 = GS;Contribution = s g 2 3 a;Criteria - % g &gt; e - g rd 3 3 2 os;§ =F &amp; B@ e 2 2 5 2 8 4 = 7];DNSH criteria &amp; 28 &amp; g &lt;= é 5 4 5 2 8 =;(Does @ € 2 8 3 5 so 2 = GS;Not s s $ 2 3 a;Significantly 5 g = e 5 2 rd 3 2 3 2 os;Harm) 2 &amp; a 6 &amp; Ee £ £ = € =;z s ® Z = 2 S 2 2 2 2 &amp; co)
; ;€M;% ;Yes; No; N/EL;Yes; No; N/EL;Yes; No; N/EL;Yes; No; N/EL;N N/EL;Yes; No; N/EL;Yes; No; ;Yes; No; ;Yes; No; ;Yes; No; ;Yes; No; ;Yes; No; ;Yes; No; ;% ;E
A. Taxonomy eligible;activities; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A.1 Environmentally sustainable activities (Taxonomy-aligned); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Data-driven solutions for GHG emissions reductions;ccM 8.2;1,989;33.4%;YES;N/EL;N/EL;N/EL;N/EL;N/EL;Yes;Yes;Yes;Yes;Yes;Yes;_;E
Total (A.1); ;1,989;33.4%;33.4%;-;-;-;-;-;Yes;Yes;Yes;Yes;Yes;Yes; ; 
Of which; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
enabling Of which; ;1,989;33.4%;33.4%;0%;0%;0%;0%;0%;Yes;Yes;Yes;Yes;Yes;Yes;a;E
; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
transitional - - - - - - - - - - “© A.2 Taxonomy-Eligible but not environmentally sustainable activities (not Taxonomy-aligned); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Data-driven solutions for ccM GHG emissions 8.2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
reductions Total (A.2);CE4.1;2,017;33.9%;EL;N/EL;N/EL;EL;N/EL;N/EL; ; ; ; ; ; ;_; 
Total (A.2); ;4,006;67.3%;67.3%; ; ; ; ; ; ; ; ; ; ; ;65.8%; 
B. Taxonomy-Non-Eligible Activities; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"
