"as of 31 December 2023;Book value;Fair value;Valuation reserve;Dividend distribution
Equity funds;;;;
Allianz China Healthy Living Fund;3,184;3,184;;;
Allianz Alpha Sector Rotation;4,629;4,629;;;
Allianz High Dividend Global Sharia Equity Dollar;6,086;6,279;;;
Subtotal equity funds;13,899;14,092;;;
Bond funds;;;;
Allianz RE Asia Fund;1,388,776;1,388,818;;;
Reksa Dana Allianz Usd Fixed Income Fund;2,962;2,962;;;
Allianz SE Ashmore Emerging Markets Corporates Fund;90,460;90,460;;;
Subtotal bond funds;2,683,963;2,684,005;42;14,876
Money market funds;;;;
Allianz Rupiah Liquid;;;;;
Fund Subtotal money;2,928;2,928;;;
Total;2,700,790;2,701,025;235;14,876"
