"Agriculture, forestry and fishing;288;77;20;0;384;0;1;4;(0);6
Mining and quarrying;2,538;277;8;0;2,823;2;3;4;0;9
Manufacturing;23,474;4,061;1,445;44;29,024;27;48;456;2;533
Electricity, gas, steam and air conditioning supply;4,253;206;73;0;4,532;3;3;16;0;23
Water supply, sewerage, waste management and remediation activities;491;21;5;0;517;1;0;3;0;5
Construction;3,248;893;213;60;4,414;5;9;80;12;107
Wholesale and retail trade, repair of motor vehicles and motorcycles;17,237;3,407;698;25;21,366;16;31;351;3;402
Transport and storage;4,083;1,075;165;24;5,346;6;10;30;(0);46
Accommodation and food service activities;1,471;320;76;3;1,869;2;3;26;(0);31
Information and communication;7,398;814;89;0;8,302;10;11;28;0;49
Financial and insurance activities;342,352;12,189;1,691;351;356,583;96;90;491;92;769
Real estate activities;37,907;8,954;2,630;185;49,675;19;49;321;75;464
Professional, scientific and technical activities;5,887;918;179;1;6,985;6;12;75;1;94
Administrative and support service activities;7,980;1,107;351;24;9,463;7;11;114;9;141
Public administration and defense, compulsory social security;26,536;489;742;0;27,767;15;1;28;0;45
Education;226;46;11;0;283;0;1;2;0;3
Human health services and social work activities;3,986;482;34;0;4,503;5;7;14;0;25
Arts, entertainment and recreation;769;229;31;1;1,030;1;5;3;0;10
Other service activities;8,436;648;225;86;9,395;11;6;119;6;143
Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;187,649;19,492;4,113;3;211,257;212;379;1,792;(2);2,381
Activities of extraterritorial organizations and bodies;213;0;0;0;213;0;0;0;0;0"
