"in€m Total shareholders’ equity per accounting balance sheet;Dec 31, 2023;Dec 31, 2022
Deconsolidation/C onsolidation of entities;(35);29
Of which:;
Additional paid-in capital;0;0
Retained earnings;(35);29
Accumulated other comprehensive income (loss), net of tax;0;0
Total shareholders’ equity per regulatory balance sheet;64,451;61,988
Minority Interests (amount allowed in consolidated CET 1);973;1,002
AT1 coupon and shareholder dividend deduction?;(1,279);(1,342)
Capital instruments not eligible under CET 1 as per CRR 28(1);(21);(14)
Common Equity Tier 1 (CET 1) capital before regulatory adjustments;64,124;61,634
Additional value adjustments;(1,727);(2,026)
Other prudential filters (other than additional value adjustments);(126);600
Goodwill and other intangible assets (net of related tax liabilities) (negative amount);(5,014);(5,024)
Deferred tax assets that rely on future profitability;(4,207);(3,244)
Defined benefit pension fund assets (net of related tax liabilities) (negative amount);(920);(1,149)
Direct, indirect and synthetic holdings by the institution of the CET 1 instruments of financial sector entities;
where the institution has a significant investment in those entities;0;0
Other regulatory adjustments;(4,065);(2,691)
Common Equity Tier 1 capital;48,066;48,097"
