"in€m (unless stated otherwise);2023;2022;2021;(decrease) from 2022 in€m. in%;in€m;(decrease) from 2021 in%
Net revenues:;;;;;;
Private Bank Germany;6,070;5,325;5,006;745;14;319;6
International Private Bank;3,505;3,828;3,226;(322);(8);601;19
Premium Banking;986;942;934;44;5;8;1
Wealth Management &amp; Bank for Entrepreneurs;2,520;2,886;2,292;(366);(13);593;26
Total net revenues;9,575;9,153;8,233;422;5;920;11
of which:;;;;;;
Net interest income;6,160;5,223;4,601;937;18;622;14
Commissions and fee income;2,852;3,155;3,206;(303);(10);(51);(2)
Remaining income;563;775;426;(212);(27);349;82
Provision for credit losses;783;583;446;201;34;137;31
Noninterest expenses:;;;;;;
and benefits;;;;;;
Compensation;2,806;2,785;2,808;21;1;(22);(1)
General and administrative expenses;4,742;4,176;4,939;566;14;(764);(15)
Impairment of goodwill and other intangible assets;0;0;0;0;N/M;0;N/M
Restructuring activities;228;(113);173;341;N/M;(285);N/M
Total noninterest expenses;7,777;6,848;7,920;929;14;(1,072);(14)
Noncontrolling interests;0;0;0;(0);(12);0;N/M
Profit (loss) before tax;1,015;1,722;(133);(707);(41);1,855;N/M
(front office, full-time;20,599;;;;
Employees equivalent)? E full-time;;21,092;21,973;(492);(2);(881);
mployees (business-aligned operations, equivalent);5,637;5,816;6,060;(179);(3);(243);(4)
E central full-time;;;;;;
mployees (allocated infrastructure, equivalent);12,215;10,808;9,426;1,407;B;1,382;15
Total employees (full-time equivalent)?;38,451;37,716;37,458;735;2;258;1
Total assets (in € bn)!?;331;333;310;(2);1;22;7
Risk-weighted assets (in € bn)!;86;88;85;(1);(2);2;3
of which: operational risk RWA (in € bn)*;8;8;8;0;0;0;1
Leverage exposure (in € bn)*;339;344;321;(6);(2);24;7
Deposits (in € bn)*;308;317;313;(10);(3);4;1
Loans (gross of allowance for loan losses, in € bn)*;261;265;254;(4);(1);10;4
Assets under Management (in € bn)!3;559;518;554;40;8;(36);(6)
Net flows (in € bn);29;30;30;(1);(4);(0);(1)
Cost/income ratio*;81.2%;74.8%;96.2%;N/M;6.4ppt;N/M;(21.4)ppt
Post-tax return on average shareholders' equity&gt;;4.1%;8.3%;(1.5)%;N/M;(4.2)ppt;N/M;9.8ppt
Post-tax return on average tangible shareholders’ equity&gt;;4.5%;9.0%;(1.7)%;N/M;(4.6)ppt;N/M;10.7ppt"
