"in€m.;Germany;UK;US.;Other;;Total;_ Germany;UK;US.;Other;Total
Cash and cash equivalents;29;92;50;19;;190;(154);551;55;24;476
Equity instruments?;933;0;109;39;;1,081;772;173;108;38;1,091
Investment-grade bonds?;;;;
Government;601;919;360;41;;1,921;691;537;340;49;1,617
Non-government bonds;0;0;0;0;;0;0;0;0;0;0
Non-investment-grade bonds;;;;
Government;1;1;0;0;;2;0;1;0;0;1
Non-government bonds;0;0;0;0;;0;0;0;0;0;0
Securitized and other Debt Investments;0;98;0;0;;98;0;45;0;0;45
Insurance;0;0;0;0;;0;0;0;0;0;0
Alternatives;;;;
Real estate;0;0;0;0;;0;0;0;0;0;0
Commodities;0;0;0;0;;0;0;0;0;0;0
Private equity;0;0;0;0;;0;0;0;0;0;0
Other;0;0;0;0;;0;0;0;0;0;0
Derivatives (Market Value);;;;
Interest rate;0;0;(16);0;;(16);0;0;(7);0;(7)
Credit;0;0;0;0;;0;0;0;0;0;0
Inflation;0;0;0;0;;0;0;0;0;0;0
Foreign exchange;0;0;0;0;;0;0;0;0;0;0
Other;2;0;0;0;;2;3;0;0;0;3
Total fair value of quoted;;;;
plan assets;1,566;1,110;503;99;;3,278;1,312;1,307;496;111;3,226"
