"No.;Name of company;company;note;Nature of activity;in%
1;Deutsche Bank Aktiengesellschaft;Frankfurt am Main;;Credit Institution;
2;ABFS | Incorporated;Lutherville- Timonium;;Financial Institution;100.0
3;Alex. Brown Financial Services Incorporated;Lutherville- Timonium;;Financial Institution;100.0
4;Alex. Brown Investments Incorporated;Lutherville-;;Financial Institution;100.0
5;Alfred Herrhausen Gesellschaft mbH;Berlin;;Other Enterprise;100.0
6;Argent Incorporated;Lutherville-;;Financial Institution;100.0
7;Baldur Mortgages Limited;London;;Financial Institution;100.0
8;Betriebs-Center fiir Banken AG;Frankfurt;;Ancillary Services Undertaking;100.0
9;Better Financial Services GmbH;Berlin;;Ancillary Services Undertaking;100.0
10;Better Payment Germany GmbH;Berlin;;Ancillary Services Undertaking;100.0
11;BHW - Gesellschaft fiir Wohnungswirtschaft mbH;Hameln;;Financial Institution;100.0
12;BHW;Bausparkasse Aktiengesellschaft;Hameln;;Credit Institution;100.0
13;BHW Holding GmbH;Hameln;;Financial Holding Company;100.0
14;Borfield Sociedad Anonima;Montevideo;;Other Enterprise;100.0
15;Breaking Wave DB Limited;London;;Ancillary Services Undertaking;100.0
16;BT Globenet Nominees Limited;London;;Other Enterprise Services;100.0
17;Cardea Real Estate S.r.l.;Milan;;Ancillary Undertaking;
18;Caribbean Resort Holdings, Inc.;New York;;Financial Institution;0.0
19;Cathay Advisory (Beijing) Co., Ltd.;Beijing;;Other Enterprise;100.0
20;Cathay Asset Management Company Limited;Ebéne;;Financial Institution;100.0
21;Cathay Capital Company (No 2) Limited;Ebéne;;Financial Institution;67.6
22;China Recovery Fund, LLC;Wilmington;;Financial Institution;85.0
23;Cinda - DB NPL Securitization Trust 2003-1;Wilmington;;Financial Institution;10.0
24;Consumo Srl in Liquidazione;Milan;;Financial Institution;100.0
25;DB Investments (GB) Limited;London;;Financial Institution;100.0
26;D&amp;M Turnaround Partners Godo Kaisha;Tokyo;;Financial Institution;100.0
27;DB (Barbados);Christ;;Ancillary Undertaking;
28;DB (Malaysia) Nominee (Asing) Sdn. Bhd.;Kuala Lumpur;;Other Enterprise;100.0
29;DB (Malaysia) Nominee (Tempatan) Sendirian Berhad;Kuala Lumpur;;Other Enterprise;100.0
30;DB Alex. Brown Holdings Incorporated;Wilmington;;Financial Institution;100.0
31;DB Aotearoa Investments Limited;George Town;;Credit Institution;100.0
32;DB Beteiligungs-Holding GmbH;Frankfurt;;Financial Holding Company;100.0
33;DB Boracay LLC;Wilmington;;Financial Institution;100.0
34;DB Capital Markets (Deutschland) GmbH;Frankfurt;;Financial Holding Company;100.0
35;DB Cartera de Inmuebles 1, S.A.U.;Madrid;;Ancillary Services Undertaking;100.0
36;DB Chestnut Holdings Limited;George Town;;Ancillary Services Undertaking;100.0
37;DB Commodity Financing Limited;London;;Ancillary Services Undertaking;100.0
38;DB Corporate Advisory (Malaysia) Sdn. Bhd.;Kuala Lumpur;;Financial Institution;100.0
39;DB Direkt GmbH;Frankfurt;;Ancillary Services Undertaking;100.0
40;DB Equipment Leasing, Inc.;New York;;Financial Institution;100.0
41;DB Finance (Delaware), LLC;Wilmington;;Financial Institution;100.0
42;DB Global Technology SRL;Bucharest;;Ancillary Services Undertaking;100.0
43;DB Global Technology, Inc.;Wilmington;;Ancillary Services Undertaking;100.0
44;DB Group Services (UK) Limited;London;;Ancillary Services Undertaking;100.0
45;DB Holdings (New York), Inc.;New York;;Financial Institution;100.0
46;DB HR Solutions GmbH;Frankfurt;;Ancillary Services Undertaking;100.0
47;DB Impact Investment Fund |, L.P.;Edinburgh;2;Financial Institution;100.0
48;DB Industrial Holdings Beteiligungs GmbH &amp; Co. KG;Luetzen;2;Financial Institution;100.0
49;DB Industrial Holdings GmbH;Luetzen;;Financial Institution;100.0
50;DB Intermezzo LLC;Wilmington;;Financial Institution;100.0
51;DB International (Asia) Limited;Singapore;;Credit Institution;100.0
52;DB International Investments Limited;London;;Financial Institution;100.0
53;DB International Trust (Singapore) Limited;Singapore;;Other Enterprise;100.0
54;DB Investment Managers, Inc.;Wilmington;;Financial Institution;100.0"
