"Serial No.;Name of;Domicile of;Foot- note;Nature of;Capital in%
259;company MIT Holdings, Inc.;company Baltimore;;activity Financial Institution;100.0
260;= MortgagelT Securities Corp.;Wilmington;;Ancillary Services Undertaking;100.0
261;MortgagelT, Inc.;New York;;Financial Institution;100.0
262;norisbank GmbH;Bonn;;Credit Institution;100.0
263;Numis Corporation Limited;London;;Financial Institution;100.0
264;— Numis Europe Limited;Dublin;;Investment Firm;100.0
265;Numis Nominees (Client) Limited;London;;Other Enterprise;100.0
266;Numis Nominees (NS!) Limited;London;;Other Enterprise;100.0
267;Numis Nominees Limited;London;;Other Enterprise;100.0
268;— Numis Securities Inc.;Wilmington;;Financial Institution;100.0
269;Numis Securities Limited;London;;Financial Institution;100.0
270;OOO “Deutsche Bank TechCentre"";Moscow;;Services;100.0
;;|;;Ancillary Undertaking;
271;000 “Deutsche Bank"";Moscow;;Credit Institution;100.0
272;OPB Verwaltungs- und Treuhand GmbH;Cologne;;Financial Institution;100.0
273.;OPB-Oktava GmbH;Cologne;;Financial Institution;100.0
274;OPPENHEIM Capital Advisory GmbH;Cologne;;Financial Institution;100.0
275;OPPENHEIM PRIVATE EQUITY Verwaltungsgesellschaft mbH;Cologne;;Financial Institution;100.0
276;— PADUS Grundstiicks-Vermietungsgesellschaft mbH;Duesseldorf;;Financial Institution;100.0
277;Pan Australian Nominees Pty Ltd (in voluntary strike-off);Sydney;;Ancillary Services Undertaking;100.0
278;PB Factoring GmbH;Bonn;;Financial Institution;100.0
279;PB Spezial-Investmentaktiengesellschaft mit;Bonn;;1 Ancillary Services Undertaking;0.0
;;Teilgesellschaftsvermégen i.A.;;;;
280;PCC Services GmbH der Deutschen Bank;Essen;;Ancillary Services Undertaking;100.0
281;_ Plantation Bay, Inc.;St. Thomas;;Other Enterprise;100.0
282;Postbank Direkt GmbH;Bonn;;Financial Institution;100.0
283;Postbank Filialvertrieb AG;Bonn;;Financial Institution;100.0
284;_ Postbank Finanzberatung AG;Hameln;;Other Enterprise;100.0
;;Postbank Immobilien GmbH;;; 
285;;Hameln;;Other Enterprise;100.0
286;Postbank Leasing GmbH;Bonn;;Financial Institution;100.0
287;Prof. Weber GmbH;Mannheim;;4 Other Enterprise;100.0
288;PT Deutsche Sekuritas Indonesia;Jakarta;;Financial Institution;99.0
289;— RoPro U.S. Holding, Inc.;Wilmington;;Financial Institution;100.0
290;Route 28 Receivables, LLC;Wilmington;;Financial Institution;100.0
291;RREEF America L.L.C.;Wilmington;;Financial Institution;100.0
292;RREEF European Value Added | (G.P.) Limited;London;;Financial Institution;100.0
293.;RREEF Fund Holding LLC;Wilmington;;Financial Institution;100.0
294;— RREEF India Advisors Private Limited;Mumbai;;Other Enterprise;100.0
295;RREEF L.L.C.;;;Services;100.0
;;| Management;Wilmington;;Ancillary Undertaking;
296;SAGITA Grundstticks-Vermietungsgesellschaft mbH;Duesseldorf;;Financial Institution;100.0
297;Sal. Oppenheim jr. &amp; Cie. Beteiligungs GmbH;Cologne;;Financial Institution;100.0
298;SAPIO Grundstiicks-Vermietungsgesellschaft mbH;Duesseldorf;;Financial Institution;100.0
299;Sharps SP I LLC;Wilmington;;Financial Institution;100.0
300;Stelvio Immobiliare S.r.l.;Bolzano;;Other Enterprise;100.0
301;Stddeutsche Vermdgensverwaltung Gesellschaft mit beschrankter Haftung;Frankfurt;;Financial Institution;100.0
302;TELO Beteiligungsgesellschaft mbH;Schoenefeld;;Financial Institution;100.0
303;tempurrite leasing limited (in members' voluntary liquidation);london;;financial institution;100.0
304;thai asset enforcement and recovery asset management company limited;bangkok;;financial institution;100.0
305;treuinvest service gmbh;frankfurt;;other enterprise;100.0
306;triplereason limited;london;;financial institution;100.0
307;vöb -zvd processing gmbh;bonn;;payment institution;100.0
308;wepla beteiligungsgesellschaft mbh;frankfurt;;financial institution;100.0"
