";Base;salary?;Short Term Award;Long Award;Total compensation;Target Total compensation;Ratio to Target;compensation
Christian Sewing;3,600,000;2,528,719;2,616,778;8,745,497;9,225,000;95%;8,933,742
James von Moltke;3,150,000;2,163,922;2,291,135;7,605,057;8,075,000;94%;7,073,709
Fabrizio Campelli;3,250,000;2,374,050;2,372,546;7,996,596;8,350,000;96%;6,485,893
Claudio de Sanctis;1,500,000;1,072,570;1,139,752;3,712,322;3,950,000;94%;-
Bernd Leukert;2,400,000;1,704,780;1,907,341;6,012,121;6,500,000;92%;6,266,628
Alexander von zur Mihlen;2,400,000;1,783,500;1,907,341;6,090,841;6,500,000;94%;6,249,101
Rebecca Short;2,400,000;1,807,767;1,907,341;6,115,108;6,500,000;94%;6,325,053
Professor Dr. Stefan Simon;2,400,000;1,773,250;1,907,341;6,080,591;6,500,000;94%;6,258,838
Olivier Vigneron;2,400,000;1,647,585;1,904,778;5,952,363;6,500,000;92%;3,840,545
Christiana Riley;1,000,000;0;0;1,000,000;2,708,333;0;6,161,463
Karl von Rohr;2,500,000;973,988;1,841,436;5,315,424;6,458,333;82%;7,266,592
Total;;0;19,795,789;;;91%;"
