";in€t;in %;in€t.;in %;in€t;in %;in€t.;in %
;2023;;;2022;;;2023;;;2022
Fixed compensation components:;
Base salary;3,250+;83%;2,467;90%;1,500!;99%;-;-
Pension allowance;0;0%;0;0%;0;0%;-;-
Fringe benefits;33;1%;57;2%;9;1%;-;-
Total fixed compensation;3,283;84%;2,524;92%;1,509;100%;-;-
Variable compensation components:;
Deferred variable compensation;;;;
thereof Restricted Incentive Awards:;
2017 Restricted Incentive Award: Sign On;0;0%;0;0%;0;0%;-;-
2019 Restricted Incentive Award for 2018;0;0%;0;0%;0;0%;-;-
2020 Restricted Incentive Award for 2019;0;0%;0;0%;0;0%;-;-
2021 Restricted Incentive Award for 2020;188;4%;188;4%;74;2%;74;2%
2022 Restricted Incentive Award for 2021;399;8%;0;0%;395;10%;0;0%
thereof Equity Awards;0;0%;0;0%;0;0%;-;-
Fringe benefits;0;0%;0;0%;0;0%;-;-
Total variable compensation;587;20%;188;7%;470;12%;74;2%"
