"in € m, (unless stated otherwise);Corporate Bank;Investment Bank;Private Bank;Asset _ Management;Corporate &amp; Other;Total
Profit (loss) before tax;2,984;1,836;1,015;396;(553);5,678
Profit (loss);2,148;1,322;731;285;405;4,892
;noncontrolling interests;0;0;0;0;120;120
Profit (loss) attributable to DB shareholders and additional equity components;2,148;1,322;731;285;286;4,772
Profit (loss) attributable to additional equity components;121;262;132;23;23;560
Profit (loss) attributable to Deutsche Bank shareholders;2,027;1,060;599;263;263;4,212
Average allocated shareholders’ equity;13,306;27,593;14,477;5,318;2,318;63,011
Deduct: Average allocated goodwill and other intangible assets?;1,059;1,246;1,094;2,989;45;6,434
Average allocated tangible shareholders' equity;12,247;26,346;13,383;2,328;2,273;56,577
;P ost-tax return on average;;;;
shareholders’ equity;15.2%;3.8%;4.1%;4.9%;N/M;6.7%
;P ost-tax return on average;;;;
tangible shareholders’ equity;16.6%;4.0%;4.5%;11.3%;N/M;7.4%"
