OTHER PERFORMANCE INDICATORS;;2023;2023;2022;2021
; ;Total;of which fully consolidated entities;Total;Total
EMISSIONI GHG; ; ; ; ; 
Direct GHG emissions (Scope 1);(million tonnes CO2eq.);38.69;21.53;39.39;40.08
Direct GHG emissions (Scope 1) by type of source; ; ; ; ; 
of which: CO, equivalent from combustion and process; ;28.67;18.62;29.77;30.58
of which: CO, equivalent from flaring; ;6.81;2.39;6.71;7.14
of which: CO, equivalent from venting; ;3.04;0.45;2.72;2.12
of which: CO, equivalent from methane fugitive emissions; ;0.17;0.08;0.2;0.24
Carbon efficiency index (Scope 1 and 2);(tonnes CO2eq./thousand boe);31.9;48.79;32.67;31.95
Direct GHG emissions (Scope 1)/100% operated hydrocarbon gross production (Upstream); ;20.69;21.72;20.64;20.19
Direct GHG emissions (Scope 1)/Equivalent electricity produced (Enipower);(gCO2eq./kWheq);389;388.7;392.9;379.6
Direct GHG emissions (Scope 1)/Refinery throughputs (raw and semi-finished materials);(tonnes of CO2eq./thousand of tonnes);232;232;233;228
Direct methane emissions (Scope 1);(thousands of tonnes of CH4);39.1;16.6;49.6;54.5
of which: fugitive upstream; ;6;2;7.2;9.2
Upstream methane emission intensity;(%);0.06;na.;0.08;0.09
Volumes of hydrocarbon sent to flaring;(billion Sm3);2.1;na.;2.1;2.2
of which: Upstream routine; ;1;na.;1.1;1.2
Indirect GHG emissions (Scope 2);(million tonnes CO2eq.);0.73;0.52;0.79;0.81
Indirect GHG emissions (Scope 3) from use of sold products; ;174;na.;164;176
Net GHG Emissions (Scope 1+2+3); ;200;na.;194;210
ENERGY;; ; ; ; 
Electricity produced from renewable sources;(GWh);4.242;3.624;2.836;1.166
Primary source consumption;(millions of GJ);497.5;316.2;484.4;529.1
of which: natural/fuel gas; ;413.9;237.1;395.1;429
of which: other primary sources; ;83.6;79.1;89.3;100.1
Primary energy purchased from other companies; ;17.1;13.4;17.6;21.7
of which: electricity; ;15;11.3;15.1;18.3
of which: other sources; ;2;2;2.5;3.4
Hydrogen consumption; ;1.6;1.6;1.3;1.7
Total energy consumption; ;516.2;331.1;503.2;552.5
Energy consumption from renewable sources; ;1.3;1.3;1.2;1.5
of which: electricity from photovoltaics; ;0.1;0.1;0.03;0.6
of which: biomass; ;1.2;1.2;1.1;0.9
Export of electricity to other companies; ;192.7;173.2;177.8;183
Export of heat and steam to other companies; ;5.2;4.7;5.7;5.4
Energy Intensity Index (refineries);(%);123;123;115.5;116.4
Energy consumption from production activities/100% operated hydrocarbon gross production (upstream);(GJ/toe);1.45;na.;1.41;1.45
Net consumption of primary resources/Equivalent electricity produced (Enipower);(toe/MWheq);0.16;0.16;0.18;0.16
PRODUCTION OF BIOFUELS;; ; ; ; 
Sold production of biofuels;(ktonnes);635;na.;428;585
R&S;;;;;
R&D expenditures;(EUR million);166;166;164;177
of which: related to decarbonization;;135;135;114;114
Patent application first filings;(number);28;28;23;30
of which: related to renewable energy sources;;14;14;13;11
