"; ;Total;of which fully consolidated entities;Total;Total
TRIR (Total Recordable Injury Rate);(total recordable injuries/hours worked) x 1,000,000;0.40;0.56;0.41;0.34
Employees;;0.45;0.65;0.29;0.40
Contractors;;0.38;0.51;0.47;0.32
Process Safety Events (PSEs) (number);;;;
Tier 1;;10;10;7;16
Tier 2;;10;9;21;24
Number of fatalities as a result of work-related injury;;;4;0
Employees;;0;0;0;0
Contractors;;1;1;4;0
Fatality Index;((fatal accidents/hours worked) x 100,000,000;0.33;0.61;1.46;0
Employees;;0;0;0;0
Contractors;;0.48;0.96;2.13;0
High-consequence work-related injuries rate (excluding fatalities);(high-consequence Maaaberaiea etch;0;0.01;0.01;0
Employees;;0.01;0.02;0.01;0
Contractors;;0;0;0.01;0
Near miss;(number);918;556;899;780
Worked hours.;(million of hours);305.4;163.0;273.7;256.5
Employees;;98.4;58.6;85.6;82.9
Contractors;;207.1;104.4;188.1;173.6"
