"Manufacture of plastics in primary form;CCM 3.17;59;0.1%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
Electricity generation using solar photovoltaic technology;CCM 4.1;192;0.2%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
Electricity generation (wind);CCM 4.3;168;0.2%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
Electricity generation from bioenergy;CCM 4.8;35;0.0%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
Manufacture of biogas and biofuels for use in transport and of bioliquids;CCM 4.13;660;0.7%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
Anaerobic digestion of bio-waste;CCM 5.7/CE 2.5;3;0.0%;Y;N/EL;N/EL;N;N/EL;N/EL
Composting of bio-waste;CCM 5.8/CE 2.5;2;0.0%;Y;N/EL;N/EL;N;N/EL;N/EL
Cannan Sion) Gt) sustainable activities;;4,119;1.2%;%;;;;;
Of which Enabling;;;0.0%;;;;;;;
Of which Transitional;;;0.1%;;;;;;;
A.2. Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned);;;;;;;;;
Manufacture of plastic packaging goods;CE11;7;0.0%;N/EL;N/EL;N/EL;EL;N/EL;N/EL
Recovery of bio-waste by anaerobic digestion or composting;CE25;5;0.0%;EL;N/EL;N/EL;EL;N/EL;N/EL
Manufacture of organic basic chemicals;CCM 3.14;1,323;1.4%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Manufacture of plastics in primary form;CCM 3.17;1,583;1.7%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Transmission and distribution of electricity;CCM 4.9;7;0.0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Manufacture of biogas/biofuels for use in transport;CCM 4.13;84;0.1%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Cogeneration of heat/cool and power from bioenergy;CCM 4.20;1;0.0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
eile fejgeneration of heat/cool and power from;CCM 4.30;2,105;2.2%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Construction, extension and operation of waste water collection;ccMs53;12;0.0%;EL;NEL;NEL;NEL;NEL;NEL
pallecton and transport of non-hazardous waste in source segregated;CCM5.5;2;0.0%;EL;NEL;NEL;NEL;NEL;NEL
Transport by motorbikes, passenger cars and commercial vehicles;CCM 6.5;23;0.0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Turnover of Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities) (A.2);;5,147;5.5%;%;%;%;%;%;%"
