";per day;km;kilometers
;per year;ktoe;thousand tonnes of oil equivalent
jou;| billion barrels;ktonnes;thousand tonnes
fo |;barrels;;million barrels
|bboe;| billion barrels of oil equivalent;;million barrels of oil equivalent
;d;illion cubic feet;;million cubic feet
a;billion cubic meters;3;million cubic meters
;billion liters;;million tonnes
;billion tonnes;BS;Million Tonnes Per Annum
;barrels of oil equivalent;;number
°Q;cubic meter;z;Natural Gas Liquids
;Gigawatt hour;Uv ie) &gt;;Production Concession Agreement
Qo;Liquefield Natural Gas;;parts per million
rc U Q;Liquefield Petroleum Gas;UD 2) &gt;;Production Sharing Agreement
kbbl;thousand barrels;;Ton of equivalent petroleum
kboe;thousand barrels of oil equivalent;Wh;Terawatt hour"
