"(€ million);2024;2025;2026;2027;2028;2028 and thereafter;Total
Decommissioning liabilities;679;497;468;482;968;10,912;14,006
Environmental liabilities;646;495;399;368;305;1,406;3,619
Purchase obligations;21,032;18,024;17,887;14,800;12,519;66,415;150,677
- Gas;;;;
Take-or-pay contracts;17,904;17,286;17,358;14,463;12,330;65,919;145,260
Ship-or-pay contracts;750;540;475;327;186;469;2,747
- Other purchase obligations;2,378;198;54;10;3;27;2,670
Other obligations;4;14;2;;;&amp;20
- Memorandum of intent - Val d’Agri;4;14;2;;;&amp;20
Total;22,361;19,030;18,756;15,650;13,792;78,733;168,322"
