"Ladronera Solar SLU;Madrid;Plenitude;Acquisition
Liverpool Bay CCS Ltd;London;Exploration &amp; Production;Relevancy
Maristella Directorship SLU;Madrid;Plenitude;Acquisition
Mater-Biotech SpA;Novara;Chemicals;Acquisition of control
Matrica SpA;Porto Torres (SS);Chemicals;Acquisition of control
Novamont France SAS;Paris;Chemicals;Acquisition of control
Novamont Iberia SLU;Cornellà de Llobregat;Chemicals;Acquisition of control
Novamont North America Inc;Shelton;Chemicals;Acquisition of control
Novamont SpA;Novara;Chemicals;Acquisition of control
Renopool 1 SLU;Madrid;Plenitude;Acquisition
Tantalio Renovables SLU;Madrid;Plenitude;Acquisition
Versalis Pacific (India) Private Ltd;Mumbai;Chemicals;Relevancy
Wind Grower SLU;Ourense;Plenitude;Acquisition
Wind Hero SLU;Ourense;Plenitude;Acquisition"
