"Specification;Grant Date;Grant Price (in €);Cale Gr 5 ir;perform wero d;Vesting Pero d;Payout
LTI 2020 — Tranche 2023 — FSU;3/24/2023;109.612;105.81;December 2025;12/31/2026;May 2027
LTI 2020 — Tranche 2023 - MSU;3/24/2023;109.612;130.56;February 2026;12/31/2026;May 2027
LTI 2020 — Tranche 2023 — RSU;3/24/2023;109.612;105.81;na;12/31/2026;May 2027
LTI 2020 — Tranche 2022 — FSU;3/28/2022;106.605;96.84;December 2024;12/31/2025;May 2026
LTI 2020 — Tranche 2022 —- MSU;3/28/2022;106.605;108.20;February 2025;12/31/2025;May 2026
LTI 2020 — Tranche 2022 — RSU;3/28/2022;106.605;96.84;na;12/31/2025;May 2026
LTI 2020 — Tranche 2021 — FSU;3/22/2021;106.405;100.28;December 2023;12/31/2024;May 2025
LTI 2020 — Tranche 2021 —- MSU;3/22/2021;106.405;115.19;February 2024;12/31/2024;May 2025
LTI 2020 — Tranche 2021 — RSU;3/22/2021;106.405;100.28;na;12/31/2024;May 2025
LTI 2020 — Tranche 2020 — FSU;2/29/2020;123.593;110.65;December 2022;12/31/2023;May 2024
LTI 2020 — Tranche 2020 —- MSU;2/29/2020;123.593;122.22;February 2023;12/31/2023;May 2024
LTI 2020 — Tranche 2020 — RSU;2/29/2020;123.593;110.65;na;12/31/2023;May 2024
LTI 2016 — Tranche 2019 — PSU;2/20/2019;92.886;93.71;February 2023;12/31/2022;May 2023
LTI 2016 — Tranche 2019 — RSU;2/20/2019;92.886;88.54;na;12/31/2022;May 2023"
