"Name;Country
Siemens Energy SRL;Italy
Siemens Energy Transformers S.R.L.;Italy
Trench Italia S.R.L.;Italy
Siemens Energy K.K.;Japan
Siemens Energy Ltd.;South Korea
Siemens Electrical &amp; Electronic Services K.S.C.C.;Kuwait
Siemens Energy Sdn. Bhd.;Malaysia
Siemens Energy, S. De R. L. De C.V.;Mexico
Siemens Energy B.V.;Netherlands
Siemens Energy Ltd.;Nigeria
Siemens Energy AS;Norway
Siemens Energy L.L.C.;Oman
Siemens Energy S.A.C.;Peru
Siemens Energy, Inc.;Philippines
Siemens Energy Sp. z o.o.;Poland
Energy Unipessoal Lda.;Portugal
Siemens Energy W.L.L.;Qatar
Siemens S.R.L.;Romania
Gas and Power Limited;Russian Federation
Liability Company; 
Siemens Energy Ltd.;Saudi Arabia
Siemens Energy d.o.o. Beograd;Serbia
Siemens Energy Pte. Ltd.;Singapore
Siemens Energy (Pty) Ltd;South Africa
Siemens Energy S.A.;Spain
Siemens Energy AB;Sweden
Siemens Energy Ltd.;Thailand
Siemens Energy Ltd.;Trinidad and Tobago
Siemens Enerji Sanayi Ve Ticaret Anonim Sirketi;Turkey
Siemens Energy LLC;Ukraine
Dresser-Rand Field Operations Middle East LLC;UAE
Siemens Energy LLC;UAE
Industrial Turbine Company (UK) Ltd.;UK
Siemens Energy Industrial Turbomachinery Ltd.;UK
Siemens Energy Ltd.;UK
SEI - Dresser-Rand Company dARE;USA
Siemens Energy Demag Delaval Turbomachinery, Inc.;USA
Siemens Energy, Inc.;USA
Siemens Energy Limited Company;Vietnam"
