"(€ million);Note;December 31,2023;December 31,2022;December 31,2021
Property, plant and equipment;D.3.1.;10,160;9,869;10,028
Right-of-use assets;D.3.2.;1,654;1,815;1,948
Goodwill;D4.;49,404;49,892;48,056
Other intangible assets;D4.;24,319;21,640;21,407
Investments accounted for using the equity method;D6.;424;677;250
Other non-current assets;D.7.;3,218;3,095;3,127
Non-current income tax assets;;188;242;175
Deferred tax assets;D4.;6,427;5,381;4,598
Non-current assets;;95,794;92,611;89,589
Inventories;D9.;9,666;8,960;8,715
Accounts receivable;D.10.;8,433;8,424;7,568
Other current assets;D1.;3,455;3,532;3,571
Current income tax assets;;391;374;612
Cash and cash equivalents;D.13. - D.17.1.;8,710;12,736;10,098
Current assets;;30,655;34,026;30,564
Assets held for sale or exchange;D8.;15;85;89
Total assets;;126,464;126,722;120,242"
