"(€ million);Land;Buildings;equipment;fittings other;equipment in process;Total
Gross value at January 1, 2021;236;6,828;11,127;2,524;2,454;23,169
Changes in scope of consolidation;—;11;15;2;2;30
Acquisitions and other increases;—;10;51;39;1,404;1,504
Disposals and other decreases;(3);(75);(153);(80);(3);(314)
Currency translation differences;6;169;155;34;79;443
Transfers;1;227;453;136;(839);(22)
Gross value at December 31, 2021;240;7,170;11,648;2,655;3,097;24,810
Changes in scope of consolidation;(17);(294);(1,480);(163);(150);(2,104)
Acquisitions and other increases;—;11;54;41;1,642;1,748
Disposals and other decreases;(1);(161);(240);(155);(2);(559)
Currency translation differences;17;122;144;29;35;347
Transfers;(2);480;722;108;(1,626);(318)
Gross value at December 31, 2022;237;7,328;10,848;2,515;2,996;23,924
Changes in scope of consolidation;—;(11);(29);(7);(4);(51)
Acquisitions and other increases;—;27;47;36;1,583;1,693
Disposals and other decreases;(2);(50);(340);(100);(10);(502)
Currency translation differences;(5);(94);(71);(30);(45);(245)
Transfers;(2);481;457;86;(1,071);(49)
Gross value at December 31, 2023;228;7,681;10,912;2,500;3,449;24,770
Accumulated depreciation &amp; impairment at January 1, 2021;(10);(3,898);(7,792);(1,981);(123);(13,804)
Depreciation expense;—;(306);(592);(167);—;(1,065)
Impairment losses, net of reversals;—;(3);(22);(2);(12);(39)
Disposals and other decreases;—;74;149;75;1;299
Currency translation differences;—;(80);(99);(29);—;(208)
Transfers;1;23;16;(11);6;35
Accumulated depreciation &amp; impairment at December 31, 2021;(9);(4,190);(8,340);(2,115);(128);(14,782)
Changes in scope of consolidation;—;201;1,202;130;—;1,533
Depreciation expense;—;(356);(622);(164);—;(1,142)
Impairment losses, net of reversals;(1);(50);(58);(2);(75);(186)
Disposals and other decreases;—;133;201;153;31;518
Currency translation differences;—;(52);(69);(22);5;(138)
Transfers;—;89;49;5;(1);142
Accumulated depreciation &amp; impairment at December 31, 2022;(10);(4,225);(7,637);(2,015);(168);(14,055)
Changes in scope of consolidation;—;5;16;3;—;24
Depreciation expense;—;(321);(620);(139);—;(1,080)
Impairment losses, net of reversals;—;(30);(46);(4);(50);(130)
Disposals and other decreases;—;48;334;98;8;488
Currency translation differences;2;45;44;21;—;112
Transfers;—;(22);36;(1);18;31
Accumulated depreciation &amp; impairment at December 31, 2023;(8);(4,500);(7,873);(2,037);(192);(14,610)
Carrying amount at December 31, 2021;231;2,980;3,308;540;2,969;10,028
Carrying amount at December 31, 2022;227;3,103;3,211;500;2,828;9,869
Carrying amount at December 31, 2023;220;3,181;3,039;463;3,257;10,160"
