"Gross value at January 1, 2021;9,600;61,074;1,633;72,307
Changes in scope of consolidation;1,805;1,821;—;3,626
Acquisitions and other increases;339;159;118;616
Disposals and other decreases;(313);(173);(16);(502)
Currency translation differences;560;2,234;24;2,818
Transfers;(784);791;(7);—
Gross value at December 31, 2021;11,207;65,906;1,752;78,865
Changes in scope of consolidation;—;499;(35);464
Acquisitions and other increases;277;195;99;571
Disposals and other decreases;(72);(423);(48);(543)
Currency translation differences;518;1,994;21;2,533
Transfers;(1,576);1,408;(6);(174)
Gross value at December 31, 2022;10,354;69,579;1,783;81,716
Changes in scope of consolidation;113;3,287;1;3,401
Acquisitions and other increases;1,062;1,970;80;3,112
Disposals and other decreases;(262);(380);(41);(683)
Currency translation differences;(242);(1,584);(11);(1,837)
Transfers;(1,253);861;(4);(396)
Gross value at December 31, 2023;9,772;73,733;1,808;85,313
Accumulated amortization &amp; impairment at January 1, 2021;(3,508);(49,345);(1,113);(53,966)
Amortization expense;—;(1,621);(119);(1,740)
Impairment losses, net of reversals;(150);(42);—;(192)
Disposals and other decreases;313;133;16;462
Currency translation differences;(132);(1,869);(21);(2,022)
Accumulated amortization &amp; impairment at December 31, 2021;(3,477);(52,744);(1,237);(57,458)
Changes in scope of consolidation;—;—;11;11
Amortization expense;—;(2,099);(97);(2,196)
Impairment losses, net of reversals;(1,107);1,561;—;454
Disposals and other decreases;75;411;39;525
Currency translation differences;(7);(1,567);(17);(1,591)
Transfers;388;(214);5;179
Accumulated amortization &amp; impairment at December 31, 2022;(4,128);(54,652);(1,296);(60,076)
Changes in scope of consolidation;—;33;—;33
Amortization expense;—;(2,225);(120);(2,345)
Impairment losses, net of reversals;(90);(842);—;(932)
Disposals and other decreases;262;326;41;629
Currency translation differences;94;1,184;9;1,287
Transfers;128;268;14;410
Accumulated amortization &amp; impairment at December 31, 2023;(3,734);(55,908);(1,352);(60,994)
Carrying amount at December 31, 2021;7,730;13,162;515;21,407
Carrying amount at December 31, 2022;6,226;14,927;487;21,640
Carrying amount at December 31, 2023;6,038;17,825;456;24,319"
