"(€ million);Balance, beginning of period;2023;2022;2021
;Of which:;;;
* Classified in non-current liabilities;761;524;868
* Classified in current liabilities;472;594;631
Change in provisions recognized in profit or loss for the period;435;636;183
Provisions utilized; (561);(522);(571)
Transfers;3;_;1
Unwinding of discount;31;5;_
Currency translation differences;(9);(4);6
Balance, end of period;1,132;1,233;1,118
;Of which:;;;
* Classified in non-current liabilities;554;761;524
* Classified in current liabilities;578;472;594"
