"riliprubart;Complement C1s inhibitor;CIDP
SAR443820°;RIPK1 inhibitor;Amyotrophic Lateral Sclerosis
SAR443820°;RIPK1 inhibitor;Multiple Sclerosis
SAR442501;Anti-FGFR3 Ab;Achondroplasia
rilzabrutinib;BTK inhibitor;Warm Autoimmune Hemolytic Anemia
riliprubart;Complement C1s inhibitor;Cold Agglutinin Disease
Fluzone HD;Inactivated Influenza vaccine;Pediatric Influenza
SP0218;Vero cell vaccine;Yellow fever
$P0202*;PCV21;Prevention of pneumococcal disease
SP0125;Live attenuated virus vaccine;RSV toddler
SP0256;mRNA RSV vaccine;RSV older adults
SP0230;Multicomponent vaccine;Meningitis B"
