"(million euros);12.31.2021;Investments;Depreciation and amortization;Impairment (losses)/Reversals;Disposals;Other changes;12.31.2022
Land;202;; ; ; ; ;202
Buildings (civil and industrial);455;6;(28); ;8;441
Plant and equipment;5,829;565;(1,173); ;(23);273;5,471
Manufacturing and distribution equipment;18;5;(8); ;2; ;17
Other;146;33;(61); ;12;130
Construction in progress and advance payments;573;290; ; ;(3);(284);576
Total;7,223;899;(1,270);—;(26);11;6,837
(million euros);12.31.2022;Investments;Depreciation and amortization;Impairment (losses)/Reversals;Disposals;Other changes;12.31.2023
Land;202;—;—;—;(4);1;199
Buildings (civil and industrial);441;3;(27);—;(4);8;421
Plant and equipment;5,471;590;(1,139);—;(24);297;5,195
Manufacturing and distribution equipment;17;5;(7);—;—;1;16
Other;130;27;(56);—;—;9;110
Construction in progress and advance payments;576;364;—;—;(1);(319);620
Total;6,837;989;(1,229);—;(33);(3);6,561"
