"(million euros);12.31.2022;and/or;Receipts issues;Payments and/or reimburse- ments;| Exchange} |differences|;Fair value changes};Other | changes and reclassifica- tions;12.31.2023
“Financial payables (medium/long-term):;;;;
Bonds.; ;12,786;2,750;(3,032);(40);(28);16;12,452
Amounts due to banks; ;4,658;360;(604); ; ;14;4,428
Other financial payables; ;4,193;—;(6);(47);11;4,151
(a);21,637;3,110;(3,642);(87);(28);41;21,031
of which short-term; ;3,951; ; ; ; ; ;4,076
Non-current financial liabilities for lease contracts; ;3,035;19;(390); ; ;479;3,143
(b);3,035;19;(390);—;—;479;3,143
of which short-term; ;435; ; ; ; ; ;433
Other medium/long-term financial liabilities:;;;;
hedging derivatives relating to hedged items classified as non-current assets/liabilities of a financial nature; ;411; ; ;(113);161;(29);430
non-hedging derivative liabilities; ;936; ; ;(83);(42);9;820
other financial liabilities; ;—; ; ; ; ;—; 
(c);1,347;—;—;(196);119;(20);1,250
of which short-term; ;254; ; ; ; ; ;111
Financial payables (short term):;;;;
Amounts due to banks; ;101; ; ; ; ;(101); 
Other financial payables; ;1,408; ; ; ; ;422;1,830
(d);1,509;—;—;—;—;321;1,830
Total financial liabilities (Gross financial debt); ;(e=a+b+c+d);27,528;3,129;(4,032);(283);91;—;27,254
Hedging derivative receivables relating to hedged items classified as current and non-current assets/liabilities of a financial nature; (f);427; ; ;(302);23;(9);139
Non-hedging derivative receivables; (g);884; ; ;(83);(17);15;799
Total; (h=e -f-g);26,217;3,129;(4,032);102;85;(6);26,316"
