"(million euros); ;2024 |; ;2025 |;2026 |;2027;|2028|+ After| 2028;‘Total
Bonds;Principal;2,757; ;2,000; ;1,750; ;1,250; ;2,750; ;1,670; ;12,177
;Interest portion;495; ;401; ;343; ;285; ;212; ;966; ;2,702
Loans and other financial liabilities (*);Principal;928; ;1,027; ;447; ;390; ;2,015; ;3,575; ;8,382
;Interest portion;364; ;336; ;276; ;263; ;249; ;1,357; ;2,845
Finance lease liabilities;Principal;406; ;375; ;366; ;336; ;281; ;1,352; ;3,116
;Interest portion;143; ;127; ;107; ;87; ;68; ;196; ;728
Non-current financial liabilities(*);Principal;4,091; ;3,402; ;2,563; ;1,976; ;5,046; ;6,597; ;23,675
;Interest portion;1,002; ;864; ;726; ;635; ;529; ;2,519; ;6,275
Current financial liabilities(**);Principal;1,820; ; ; ; ; ; ; ;1,820
;Interest portion;23; ; ; ; ; ; ; ;23
Total;Principal;5,911; ;3,402; ;2,563; ;1,976; ;5,046; ;6,597; ;25,495
;Interest portion;1,025; ;864; ;726; ;635; ;529; ;2,519; ;6,298"
