;;Operated domain;Operated domain;Operated domain;Operated domain;Equity interest domain;Equity interest domain;Equity interest domain;Equity interest domain
GHG Emissions - Scope 1+2;Unit;2023;2022;2021;2015;2023;2022;2021;2015
Direct GHG emissions;Mt CO2e;32;37;34 (33);42;45;51;49;50
Breakdown by segment - Upstream oil & gas activities;Mt CO2e;12;14;14;19;19;22;23;22
Breakdown by segment - Integrated LNG, excluding upstream gas operations;Mt CO2e;<1;<1;<1;-;1;1;1;-
Breakdown by segment - Integrated Power;Mt CO2e;6;9;5;-;6;9;5;-
Breakdown by segment - Refining & Chemicals;Mt CO2e;14;15;15 (14);22;18;20;19;27
Breakdown by segment - Marketing & Services;Mt CO2e;<1;<1;<1;<1;<1;<1;<1;1
Breakdown by geography - Europe: EU 27 + Norway + UK + Switzerland;Mt CO2e;19;23;20 (19);22;18;21;18;22
Breakdown by geography - Eurasia (incl. Russia)/Oceania;Mt CO2e;<1;<1;1;5;12;15;17;13
Breakdown by geography - Africa;Mt CO2e;8;9;9;12;7;7;7;9
Breakdown by geography - Americas;Mt CO2e;5;5;5;4;8;7;7;5
Breakdown by type of gas - CO2;Mt CO2e;31;36;32;39;43;50;47;-
Breakdown by type of gas - CH4;Mt CO2e;1;1;1;2;1;1;1;-
Breakdown by type of gas - N2O;Mt CO2e;<1;<1;<1;<1;<1;<1;<1;-
Indirect emissions from energy use;Mt CO2e;2;2;2 (2);4;4;5;5;-
Scope 1+2 - of which Europe: EU 27 + Norway + UK + Switzerland;Mt CO2e;1;1;1 (1);2;2;2;2;-
Scope 1+2;Mt CO2e;35;40;37 (36);46;49;56;54;-
Scope 1+2 - of which oil & gas facilities;Mt CO2e;30;33;33 (32);46;44;48;49;-
Scope 1+2 - of which CCGT;Mt CO2e;4;7;4;-;5;8;5;-
Direct emissions of biogenic CO2(a);Mt CO2e;0.1;0.1;-;-;0.1;0.1;-;-
