"Income before taxes;;65;388
Adjustments for:;
Depreciation, amortization and impairment losses;9, 10, 11, 12, 29;1,212;1,375
Reversals of impairment losses;09, 10, 29;(-42);(-4)
Interest income;32;(-39);(-23)
Interest expense;32;162;138
Unrealized foreign exchange losses, net;;144;86
Losses on sale of property, plant, and equipment and intangible assets, net;;20;16
Other non-cash effects from operating activities;29, 30;(-8);(-8)
Operating profit before working capital changes;;1,514;1,967
Decrease/(Increase) in receivables and other assets;;995;(-795)
Decrease/(Increase) in inventories;;1,297;(-1,879)
(Decrease)/Increase in accounts payable and other liabilities;;(-868);736
Net cash generated from operations before taxes;;2,938;30
Income taxes paid;;(-307);(-424)
Net cash generated from/(used in) operating activities – continuing operations;;2,630;(-394)
Net cash used in operating activities – discontinued operations;;–;(-85)
Net cash generated from/(used in) operating activities;;2,630;(-479)
Investing activities:;
Purchase of trademarks and other intangible assets;;(-141);(-191)
Proceeds from sale of trademarks and other intangible assets;;1;1
Purchase of property, plant, and equipment;;(-363);(-504)
Proceeds from sale of property, plant, and equipment;;10;1
Proceeds from sale of a disposal group from prior years;;–;12
(Reimbursement)/Proceeds from disposal of discontinued operations;;(-19);1,165
Purchase of short-term financial assets;;(-34);–
Proceeds from/(Purchase of) investments and other long-term assets;;57;(-13)
Interest received;;39;23
Net cash (used in)/generated from investing activities – continuing operations;;(-450);495
Net cash used in investing activities – discontinued operations;;–;(-0)"
