"Cost of materials;Year ending Dec. 31, 2023;Year ending Dec. 31, 2022
11,189;11,798
Depreciation and amortization;1,095;1,220
Thereof: included within the cost of sales;13;51
Thereof: included within personnel expenses;11;10
Impairment losses;108;154
Reversals of impairment losses;(34);(4)
Wages and salaries;2,580;2,444
Social security contributions;266;276
Pension expenses;119;136
Personnel expenses;2,964;2,856
Expense relating to short-term leases;19;14
Expense relating to leases of low-value assets;1;0
Expense relating to variable lease payments;122;118"
