In Mwh;2019;2020;2021;2022;2023
TOTAL ENERGY CONSUMPTION;;;;;
TOTAL ENERGY CONSUMPTION;6348009;6040824;6476955;6295990;6380652
TOTAL ENERGY CONSUMPTION BY AREA;;;;;
vehicle production;5226227;4946865;5329550;4750321;4954639
motorcycle production;120583;114072;125450;101574;105614
non-manufacturing areas;1001199;979887;1021955;906175;890617
CHP losses;--;--;--;537919;429782
TOTAL ENERGY CONSUMPTION BY SOURCE;;;;;
electricity;2653855;2320314;2453215;2542434;2711392
community heating;367040;274484;284763;307163;354015
community cooling;33688;33322;31882;28455;23516
natural gas;3117505;3206948;3517068;3253638;3170701
of which CHP losses;425796;498299;508318;477588;398874
biogas (landfill gas);164957;192911;177564;144266;107864
of which CHP losses;68560;65065;67038;60331;30908
solar (photovoltaics);1703;2316;2344;2209;4123
other fossil fuels;7760;9368;8908;16730;7931
other biogenic fuels;1501;1161;1211;1095;1109
