Model;Fuel consumption in l/100km (combined/weighted combined) max/min;CO2 emissions in g/km (combined/weighted combined) max/min;Electricity power consumption in kWh/100 km (combined/weighted combined) max/min;Electric range (combined/weighted combined);Fuel consumption in l/100km (combined/weighted combined) max/min;CO2 emissions in g/km (combined/weighted combined) max/min;Electricity power consumption in kWh/100 km (combined/weighted combined) max/min
BMW iX1 xDrive20;-;-;17.2-15.4;430 - 474;-;-;-
BMW iX1 xDrive30;-;-;18.1 - 16.9;417 - 439;-;-;-
BMW iX2 xDrive30;-;-;17.7 - 16.3;417 - 449;-;-;-
BMW iX3;-;-;18.9 - 18.5;453 - 461;-;-;-
BMW XM;1.9-1.5;43-35;33.6 - 32.5;76 - 83;-;-;-
BMW XM Label Red;2.0 - 1.6;45-35;33.5 - 32.5;76 - 82;-;-;-
BMW XM 50e;1.7-1.3;37 - 30;32.2 - 31.5;78 - 84;-;-;-
BMW Z4 Roadster sDrive20i;7.4-6.9;167-157;-;-;-;-;-
BMW Z4 Roadster M40i;8.1-7.9;184 - 179;-;-;-;-;-
MINI;;;;;;;
MINI Cooper;14.3 - 13.8;293 - 305;-;-;-;-;-
MINI Cooper SE (until model year 2023);-;-;17.6-15.4;203 - 232;-;-;-
MINI Cooper SE (from model year 2024);-;-;14.7-14.1;387 - 402;-;-;-
MINI Cooper SE Cabrio;-;-;17.2;201;-;-;-
MINI Countryman E;-;-;17.4-15.7;423 - 462;-;-;-
MINI Countryman SE ALL4;-;-;18.5 - 16.8;399 - 432;-;-;-
ROLLS-ROYCE;;;;;;;
Rolls-Royce Cullinan;16.5 - 16.1;377 - 368;-;-;-;-;-
Rolls-Royce Ghost;15.8 - 15.2;359 - 347;-;-;-;-;-
Rolls-Royce Dawn;16.9 - 16.2;381 - 367;-;-;-;-;-
Rolls-Royce Wraith;16.3 - 15.8;369 - 357;-;-;-;-;-
Rolls-Royce Spectre;-;-;23.6 - 22.2;500 - 530;-;-;-
