"Measurement category (IFRS 9);Carried at amortized cost;quoted prices in active markets (Level 1);Based on observable — market data (Level 2);Based on unobservable inputs (Level 3);— Nonfinancial assets/ liabilities;Total
€ million;Carrying amount;Carrying amount;Carrying amount;Carrying amount;Carrying amount;
Trade accounts receivable;8,771;327;;245;;9,343
AC;8,771;;;8,771;;
FVTPL, mandatory;327;;;327;;
FVTOCI (recycling);;;627;;;627
Nonfinancial assets;;;;245;245
Other financial assets;947;2,849;1,520;1,787;;7,103
AC;919;;897;;;919
FVTPL, mandatory;2,774;1,379;1,494;;;5,647
FVTOCI (no recycling), designated;63;;261;;324;
FVTPL - derivatives - no hedge accounting;12;60;32;;104;
Derivatives — hedge accounting;;;81;;;81
Lease receivables;28;;28;;;28
Other receivables;387;;82;2,693;3,162;
AC;387;;387;;;387
FVTPL, mandatory;;82;;;82
Nonfinancial assets;;;2,693;;2,693
Cash and cash equivalents;5,907;;;5,907;;
AC;5,907;;5,907;;;5,907
Total financial assets;16,012;3,176;1,520;1,869;;22,577
of which AC;15,984;;;;15,984
of which FVTPL;;3,113;1,439;1,608;;6,160
Financial liabilities;44,703;;217;;86;45,006
AC;43,465;28,558;12,588;;;43,465
FVTPL - derivatives - no hedge accounting;;;209;;;209
Derivatives — hedge accounting;;;8;;;8
Lease liabilities;1,238;;;;1,238
Nonfinancial liabilities;;;;86;86
Trade accounts payable;7,456;;;;7,456
AC;7,456;;;;7,456
Other liabilities;932;8;91;1,031;917;2,979
AC;932;;932;;;932
FVTPL (nonderivative), mandatory;;1,030;;;1,030
FVTPL - derivatives - no hedge accounting;8;25;1;;34;
Derivatives — hedge accounting;;;66;;;66
Nonfinancial liabilities;;;;917;917
Total financial liabilities;53,091;8;308;1,031;;54,438
of which AC;51,853;;;;51,853
of which FVTPL;;8;234;1,031;;1,273"
