CATEGORY;% IN 2022;CHANGE, 2022 VS. 2021;CHANGE, 2022 VS. 2019;2022;2021;2019
Total Scope 3 GHG emissions (tCO2eq.);100%;3%;3%;96221746;93127603;93720243
Scope 3 GHG emissions intensity (gCO2/EUR);-;4%;5%;10.5;10.9;11
Purchases of goods and services;68.7%;4%;6%;66101437;63642943;62378357
of which purchases of goods and services - integrated stores;43.9%;4%;6%;47460832;45695633;44787660
of which purchases of goods and services - franchised stores;19.4%;4%;6%;18640605;17947310;17590697
Use of products sold;18.1%;1%;8%;17422277;17303528;18984841
of which use of products sold - fuels;15.3%;1%;10%;14679629;15088180;16321586
of which use of products sold - other;2.9%;1%;3%;2742648;2215348;2663255
Inbound transport;9.2%;3%;7%;8874671;8611858;8270488
Franchises;0.9%;7%;15%;849512;796022;998995
Investments;0.8%;0%;0%;807300;807300;810000
Purchases of fixed assets;0.6%;39%;7%;621000;446760;669960
Waste generated during operations;0.4%;8%;4%;428516;464083;444410
End of life of products sold;0.3%;27%;28%;308826;243588;240736
Downstream transport;0.3%;4%;13%;294193;306872;337095
Downstream leasing;0.2%;13%;17%;208421;184668;252611
Employee commuting;0.2%;3%;3%;155301;159783;160642
Upstream energy emissions;0.2%;6%;13%;144801;154548;166427
Business travel;0%;3%;3%;5492;5650;5681
Upstream leasing;n/a;-;-;0;0;0
Treatment of products sold;n/a;-;-;0;0;0
Customer travel;Not integrated to date;Not integrated to date;Not integrated to date;Not integrated to date;Not integrated to date;Not integrated to date
Purchases of goods and services from international franchise partners;Not integrated to date;Not integrated to date;Not integrated to date;Not integrated to date;Not integrated to date;Not integrated to date
