";Dec.31, 2023;cost;(without reclassification);(with reclassification);profit (FVTPL);carrying amount;31, 2023!
category;;;;;;;
current;;;;;;;
trade payables;8,479;8,479;;;;;
financial liabilities;;;;;;;
bonds;717;717;;713;;
amounts due to banks;256;256;;;;;
lease liabilities;2,254;;;;2,254;n.a.;
derivatives with hedge accounting;13;;;;13;13;
derivatives without hedge accounting;97;;;;97;97;
other financial liabilities;1,442;1,442;;;;;
noncurrent;;;;;;;
financial liabilities;;;;;;;
bonds;5,472;5,472;;5,195;;
amounts due to banks;304;304;;304;;
lease liabilities;11,826;;;;11,826;n.a.;
derivatives with hedge accounting;6;;;;6;6;
other financial liabilities;331;331;331;;;
total equity and liabilities;31,197;17,001;19;97;14,080;"
