"Jame, Location /erwaltungsgesellschaft Scharbeutzer Energie- und Netzgesellschaft nbH, DE, Scharbeutz? Veszprém-Kogeneracio"" Energiatermelé Zrt., HU, Budapest;Stake 51.0;Stake 100.0;Name, Location Westenergie Aqua GmbH, DE, Miilheim an der Ruhr?:®;Stake 100.0
;100.0;60.0;Westenergie Metering GmbH, DE, Miilheim an der Ruhr?;100.0
/visualix GmbH i. L., DE, Berlin®;25.0;50.0;Westenergie Netzservice GmbH, DE, Dortmund?;100.0
/KB-GmbH, DE, Neunkirchen*;50.0;51.0;Westenergie Rheinhessen Beteiligungs GmbH, DE, Essen? ®;100.0
folta Limburg B.V., NL, Schinnen?;100.0;25.1;Westerwald-Netz GmbH, DE, Betzdorf-Alsdorf*;100.0
folta NXT B.V., NL, Schinnen*;100.0;38.5;Westnetz Asset Komplementar GmbH, DE, Essen?;100.0
/OLTARIS GmbH, DE, Maxdorf®;50.0;49.0;Westnetz GmbH, DE, Dortmund*;100.0
/SE - Windpark Merchingen GmbH &amp; Co. KG, DE, Saarbriicken?;100.0;49.0;Westnetz Immobilien GmbH &amp; Co. KG, DE, Essen?®;100.0
(SE - Windpark Merchingen VerwaltungsGmbH, DE, Saarbriicken?;100.0;49.0;Westnetz Kommunikationsleitungen GmbH &amp; Co. KG, DE, Essen*;100.0
/SE Agentur GmbH, DE, Saarbriicken?;100.0;51.0;WEVG Salzgitter GmbH &amp; Co. KG, DE, Salzgitter?;50.2
ISE Aktiengesellschaft, DE, Saarbriicken? 15;51.4;100.0;WEVG Verwaltungs GmbH, DE, Salzgitter?;50.2
/SE NET GmbH, DE, Saarbriicken?;100.0;100.0;WGK Windenergie Gro®korbetha GmbH &amp; Co. KG, DE, Liitzen?;75.0
/SE Verteilnetz GmbH, DE, Saarbriicken*;100.0;70.0;WHP Tiefbaugesellschaft mbH &amp; Co. KG, DE, Ménchengladbach2;100.0
SE ‘Stiftung Gemeinniitzige Gesellschaft zur Férderung von Bildung, iehung, Kunst und Kultur mbH, DE, Saarbriicken? Varmeschmiede GmbH, DE, Hanover® Narmeversorgung Limburg GmbH, DE, Limburg an der Lahn® Varmeversorgung Miicheln GmbH, DE, Micheln (Geiseltal)®;100.0;40.0;WHP Verwaltungs GmbH, DE, Ménchengladbach?;100.0
;50.0;93.5;wind2move GmbH &amp; Co. KG, DE, Geilenkirchen®;35.0
;50.0;100.0;Windeck Energie GmbH, DE, Windeck®;49.9
;49.0;49.0;Windenergie Briesensee GmbH, DE, Neu Zauche®;31.5
Varmeversorgung Schenefeld GmbH, DE, Schenefeld®;40.0;100.0;Windenergie Frehne GmbH &amp; Co. KG, DE, Liitzen®;41.0
Narmeversorgung Schwaben GmbH, DE, Augsburg?;100.0;100.0;Windenergie Frehne Management GmbH, DE, Liitzen”;100.0
Narmeversorgung Wachau GmbH, DE, Markkleeberg OT Wachau®;49.0;50.0;Windenergie Leinetal GmbH &amp; Co. KG, DE, Freden (Leine)®;26.2
Varmeversorgung Wiirselen GmbH, DE, Stolberg/Rhld.2;100.0;49.0;Windenergie Leinetal Verwaltungs GmbH, DE, Freden (Leine)®;24.9
\V/armeversorgungsgesellschaft K6nigs Wusterhausen mbH, DE, nigs Wusterhausen?;50.1;50.0;Windenergie Merzig GmbH, DE, Merzig®;20.0"
