"Financial year 2023 Economic Activities;2023 Code*;OpEx in millions;Proportion of OpEx, year Climate 2023 %;Climate change mitigation?;Climate change adaptation?;Water?;Pollution?;Circular Economy? Y;N;N/EL;Biodiversity’ Y;N:N/EL;Climate change mitigation? Y:N;Climate change adaptation? Y:N;Water?;Pollution?;Circular Economy? YN;Minimum safeguards®;Proportion of Taxonomy aligned (A.1) or eligible (A.2) OpEx, year 2022 %;Category ""enabling activity""* E/-
Electricity generation using solar photovoltaic technology;CCM 4.1;;0%;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
Electricity generation from wind power;CCM 4.3;nee;1%;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
Electricity generation from hydropower;CCM 4.5;;0%;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
Electricity generation bioenergy Transmission and distribution of electricity;CCM 4.9;;59%;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
Transmission and distribution networks for renewable and low-carbon gases;CCM 4.14;;2%;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
District heating/cooling distribution;CCM 4.15;;0%;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
Cogeneration of heat/cool and power from bioenergy;CCM 4.20;Naw;0%;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
Production of heat/cool from bioenergy;CCM 4.24;5;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
Installation, maintenance and repair of renewable energy technologies;CCM 7.6;;2%;Y;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
OpEx of environmentally sustainable activities (Taxonomy-aligned) (A.1) Of which Enabling ional;;67%;67%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
OpEx of Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities) (A.2);26;2%;2%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
OpEx of Taxonomy-non eligible activities;;393;31%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
Total;;1274;100%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%"
