"Sale of electricity;__-2023;2022;Change
Transport of electricity;11,123;11,096;27;0.2%
Fees from network operators;1,142;979;163;16.6%
Transfers from institutional market operators;1,570;1,667;(97);-5.8%
Sale of gas;7,983;8,970;(987);-11.0%
Transport of gas;68;80;(12);-15.0%
Sale of fuels;3,458;5,605;(2,147);-38.3%
Fees for connection to electricity and gas networks;877;826;51;6.2%
Revenue from construction contracts;995;1,672;(677);-40.5%
Sale of commodities with physical settlement and fair value gain/(loss) on contracts settled in the period;10,383;32,987;(22,604);-68.5%
Sale of value-added services;1,653;1,384;269;19.4%
Other income;3,848;5,911;(2,063);-34.9%
Total;95,565;140,517;(44,952);-32.0%"
