"Power plants:;| __2028 |;2022;Change;Change
- thermal;550;659;(109);-16.5%
- hydroelectric;458;435;23;5.3%
- geothermal;136;121;15;12.4%
- nuclear;163;134;29;21.6%
- alternative energy sources;3,444;5,147;(1,703);-33.1%
Total power plants;4,751;6,496;(1,745);-26.9%
Electricity distribution grids;4,485;4,373;112;2.6%
Enel X (e-City, e-Industries, e-Home);449;373;76;20.4%
Enel X Way (e-Mobility);106;113;(7);-6.2%
Retail customers;617;721;(104);-14.4%
Other;1,511;1,097;414;37.7%
TOTAL;11,919;13,173;(1,254);-9.5%"
