"Millions of euro;at Dec. 31, 2022;%held;Impact on profit or loss;Change in the consolidation scope;Dividends;Reclassification to discontinued operations;Reclassifications — from/to assets held for sale;Impairment;Other changes;%held;at Dec. 31, 2023
Associates;;;;;;;;
CESI;58;42.7%;(2);-;-;-;-;-;-;56;42.7%
GNL Chile SA;14;33.3%;7;-;-;-;-;-;(1);20;33.3%
Energías Especiales del Bierzo;12;50.0%;1;-;(2);-;-;-;(1);10;50.0%
Gorona del Viento El Hierro SA;13;23.2%;(6);-;-;-;-;-;-;7;23.2%
Compañía Eólica Tierras Altas;7;37.5%;1;-;(1);-;-;-;-;7;37.5%
Sociedad Eólica El Puntal Renovables;4;50.0%;1;-;(2);-;-;-;2;5;50.0%
Brovales 400 kV;-;-;-;-;-;-;-;5;5;64.2%
Cogenio Iberia;5;20.0%;-;-;-;-;-;-;1;6;20.0%
Cogenio Srl;9;20.0%;-;-;-;-;-;(1);8;20.0%
Avikiran Solar India;-;51.0%;(1);29;-;-;-;(1);27;51.0%
Avikiran Surya India;27;51.1%;(1);-;-;-;-;-;(2);24;51.0%
EGPNA Renewable Energy Partners;77;10.0%;2;-;-;-;-;-;(15);64;10.0%
Rocky Caney Holding;22;10.0%;2;-;-;-;-;-;(4);20;10.0%
Other minor;45;(57);(8);(2);-;(1);-;85;78;78
Total associates;293;(53);37;(7);-;(1);-;68;337
TOTAL;1,281;(41);410;(25);(115);(1);-;141;1,650"
