"Cash-generating units in million euros;December 31, 2022';Goodwill;Terminal growth rate;Weighted average cost of capital (after tax)
Automotive &amp; Metals;963;1.5%;8.25%
Electronics &amp; Industrials;1,882;1.4%;8.25%
Craftsmen, Construction &amp; Professional;900;1.0%;8.25%
Packaging &amp; Consumer Goods;2,024;1.5%;8.25%
Total Adhesive Technologies;5,768;;;
Consumer;1,540;1.0%;5.75%
Professional;1,373;1.0%;5.75%
Total Beauty Care;2,913;;;
Laundry Care;3,737;1.0%;5.75%
Home Care;1,191;1.0%;5.75%
Total Laundry &amp; Home Care;4,928;;;"
