"in million euros;Dec. 31, 2022 Carrying amounts;Remaining term;More than 5 years;Dec. 31, 2022 Total cash flow;Up to 1 year;Between 1 and 5 years
Bonds;2,187;365;1,478;510;2,353
Commercial paper;516;516;-;-;516
Liabilities to banks;204;202;2;-;205
Lease liabilities;681;147;334;292;772
Trade accounts payable;4,621;4,621;-;-;4,621
Sundry financial instruments;95;77;18;-;95
Original financial instruments;8,304;5,928;1,832;802;8,562
Expected inflow from interest rate and cross-currency interest rate swaps;192;21;68;-;90
Expected outflow for interest rate and cross-currency interest rate swaps;19;22;83;-;105
Other derivative financial instruments;96;96;-;-;96
Derivative financial instruments;115;95;-15;-;81
Total;8,419;6,023;1,817;802;8,643"
