"Total of segment assets;248,978;244,468
Equity-method investment in DTHAG;8,425;8,199
Other equity-method investments*;224;253
Income tax assets?;3,448;3,107
Other reconciling items and; ; 
eliminations;-20,249;-19,697
Segment assets Group;240,826;236,330
Unallocated financial instruments (including liquidity) and assets from pensions and similar obligations?;22,196;23,685
Total assets Group;263,022;260,015
Total of segment liabilities;192,943;189,937
Income tax liabilities?;8,226;7,614
Other reconciling items and; ; 
eliminations;-20,039;-19,904
Segment liabilities Group;181,130;177,647
Unallocated financial instruments and similar obligations?;-10,924;-4,172
Total equity Group;92,816;86,540
Total equity and liabilities Group;263,022;260,015"
