"Group balance sheet structure Assets;31 Dec 2023;%;31 Dec 2022;%;Equity and liabilities Equity;€ million;%;€ million;%
€ million;%;€ million;%;€ million;%;€ million;%
Non-current assets;52,502;49.3;42,286;30.5;Equity;33,140;31.1;29,279;21.1
of which:;;;;;Non-current liabilities;39,085;36.7;29,584;21.4
Intangible assets;9,787;9.2;5,668;4.1;of which:;Provisions;17,431;16.4;15,595;11.3
Property, plant and equipment;28,809;27.1;23,749;17.1;Financial liabilities;14,064;13.2;9,789;7.1
Current assets;53,992;50.7;96,262;69.5;Current liabilities;34,269;32.2;79,685;57.5
of which:;;;;;of which:;Provisions;6,815;6.4;6,489;4.7
Trade accounts receivable;7,607;7.1;9,946;7.2;Financial liabilities;2,964;2.8;11,214;8.1
Derivatives, other receivables and other assets;29,474;27.7;61,035;44.1;Trade accounts payable;5,114;4.8;7,464;5.4
Marketable securities;7,724;7.3;13,468;9.7;Derivatives and other liabilities;19,376;18.2;54,518;39.3
Assets held for sale;–;–;619;0.4;Liabilities held for sale;–;–;–;–
Total;106,494;100.0;138,548;100.0;Total;106,494;100.0;138,548;100.0"
