"Fiscal 2023 Economic activities;2023;Substantial contribution criteria;DNSH criteria (‘Does Not Significantly Harm’);(1);(2);(3);(4);(5);(6);(7);(8);(9);(10);(11);(12);(13);(14);(15);(16);(17);(18);(19);(20)
Taxonomy-eligible environmentally sustainable activities (not taxonomy-aligned);;;;;
Electricity generation from wind energy;CCM 4.3;325;1;EL;N/EL;N/EL;N/EL;N/EL;N/EL;;;;;;;
Electricity generation from bioenergy;CCM 4.8;66;0;EL;N/EL;N/EL;N/EL;N/EL;N/EL;;;;;;;
CHP with fossil gaseous fuels;CCM 4.30;126;0;EL;N/EL;N/EL;N/EL;N/EL;N/EL;;;;;;;
CHP / CCP with bioenergy;CCM 4.20;8;0;EL;N/EL;N/EL;N/EL;N/EL;N/EL;;;;;;;
Electricity generation from natural gas;CCM 4.29;7884;28;EL;N/EL;N/EL;N/EL;N/EL;N/EL;;;;;;;
Production of technologies for renewable energy;CCM 3.1;1;0;EL;N/EL;N/EL;N/EL;N/EL;N/EL;;;;;;;
Revenue of taxonomy-eligible but not environmentally sustainable activities (not taxonomy-aligned) (A.2);;8410;30;30%;-;-;-;-;-;-;;;;
Revenue of taxonomy-eligible activities (A.1+A.2);;13376;47;47%;-;-;-;-;-;-;;;;
B. NOT TAXONOMY-ELIGIBLE ACTIVITIES;;;;;;;;
Revenue of not taxonomy-eligible activities (B);;15190;53;;;;;;;;"
