"; ;Group;Full;Group;Full;Group;Full consolidated
Total; ;Total;consolidated;Total;consolidated;Total; 
employees at period end (No);36,468;34,628;32,377;29,583;38,806;32,041
Employee categories;Senior Managers; ; ; ; ; ; 
(No.);407;396;375;366;409;394
(%) ;13;14;1.2;1.0;12; 
(No.);4,902;4,697;4,769;4,605;4,812;4,632
Managers; ; ; ; ; ; 
(%) ;16.3;1.2;15.6;12.4;14.5; 
(No.);15,981;14,583;15,781;14,692;18,258;16,113
White Collars; ; ; ; ; ; 
(%) ;31.6;35.4;33.5;39.5;34.0; 
(No.);10,743;9,080;11,452;9,920;15,327;10,902
Blue Collars; ; ; ; ; ; 
Type of contract; ; ; ; ; ; 
Employees with full-time contracts;(No.);31,920;28,643;32,231;29,437;38,642;31,877
Employees on permanent contracts;(No);16,921;15,945;15,719;14,789;15,779;14,779
Employees on fixed term contracts;(No);15,112;12,811;16,658;14,794;23,027;17,262
Non-employed workers; ; ; ; ; ; 
Employees recruited through; ; ; ; ; ; 
an agency;(No);7,346;5,898;6,951;6,535;7,137;5,967
Turnover; ; ; ; ; ; 
Total turnover;%;25;25;41;27;28;22
Voluntary turnover;(%) ;8;8;10;10;19;"
