"anufacture of renewable energy technologies;CCM 3.1;1;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
anufacture of energy efficiency equipment for buildings;CCM3.5;47;3%;EL;NEL;NEL;NEL;NEL;NEL
anufacture of low carbon technologies;CCM 3.6;5;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
anufacture, installation, and servicing of HV, MV and LV electrical equipment for electrical transmission and distribution that result in or enable a substantial contribution to climate change mitigation;CCM 3.20;141;8%;EL;NEL;NEL;NEL;NEL;NEL
transmission and distribution of electricity;CCM 4.9;-;-;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
infrastructure for rail transport;CCM 6.14;0;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
infrastructure enabling low-carbon road transport and public transport;ccM 6.15;0;0%;EL;NEL;NEL;NEL;NEL;NEL
infrastructure enabling low-carbon water transport;CCM 6.16;0;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
low carbon airport infrastructure;CCM 6.17;0;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings;CCM 7.5;0;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
acquisition and ownership of buildings;CCM 7.7;305;18%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
data-driven solutions for GHG emissions reductions;CCM 8.2;3;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
professional services related to energy performance of buildings;ccm 9.3;0;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
manufacture, installation and associated services for leakage control technologies enabling leakage reduction and prevention in water supply systems;WTR 1.1;0;0%;N/EL;N/EL;EL;N/EL;N/EL;N/EL
provision of IT/OT data-driven solutions for leakage reduction;WtR 4.1;8;0%;NEL;NEL;EL;NEL;NEL;NEL
manufacture of electrical and electronic equipment;CE 1.2;334;20%;N/EL;N/EL;N/EL;N/EL;EL;N/EL
provision of IT/OT data-driven solutions;CE 4.1;7;0%;N/EL;N/EL;N/EL;N/EL;EL;N/EL
repair, refurbishment and remanufacturing;CE 5.1;0;0%;N/EL;N/EL;N/EL;N/EL;EL;N/EL
sale of spare parts;CE 5.2;1;0%;N/EL;N/EL;N/EL;N/EL;EL;N/EL
product-as-a-service and other circular use- and result-oriented service models;CE 5.5;0;0%;N/EL;N/EL;N/EL;N/EL;EL;N/EL
capex of taxonomy-eligible but not environmentally sustainable activities (not taxonomy-aligned activities) (A.2);;852;51%;30%;.;0%;.;20%;.;28%
capex of taxonomy-eligible activities (A.1 + A.2);;1,444;86%;64%;.;1%;.;22%;.;54%
capex of taxonomy-non-eligible activities (B);;231;14%;.;.;.;.;.;.
total (A+B);;1,675;100%;.;.;.;.;.;."
