"];Indicator;Units;2023;2022;2021;2020
4-3;Employees having had a performance review;% ;97%;98%;98%;98%
;;Breakdown by category;;;;
;;White collar;% ;75%;76%;76%;75%
;;Blue collar;% ;25%;24%;26%;25%
;;Breakdown by gender;;;;
;;Men;% ;69%;70%;71%;72%
;;Women;% ;31%;30%;29%;28%
;;Breakdown of promotions by gender;;;;
;;Men;% ;67%;67%;up;up
;;Women;% ;33%;33%;up;up
;;Breakdown of promotions by generation;% ;;;;
;;GenZ;% ;11%;17%;up;up
;;Millenials;% ;62%;61%;up;up
;;Gen X;% ;24%;20%;up;up
;;Boomer;% ;3%;2%;up;up"
