"regarding the freedom of association and the right to collective bargaining;Chapter 2, section 2.5.5;239
regarding elimination of discrimination in respect of employment and occupation;Chapter 2, section 2.5.2;216
regarding elimination of all forms of forced or compulsory labor;Chapter 2, section 2.2.11;136
regarding effective abolition of child labor;Chapter 2, section 2.2.11;136
Other actions implemented to promote human rights;Chapter 2, section 2.2.11;136
Actions implemented to promote the link between the Nation and the Army and support commitment to the reserves;;
Actions implemented to promote physical activity and sport;;
Fight against food insecurity, respect for animal welfare, and a responsible, fair, and sustainable food system;;
ARTICLE L. 22-10-36;;
Actions implemented to prevent tax evasion;Chapter 2, section 2.2.9;134
ARTICLE L. 225-102-4;;"
