";2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
;Share price (€);;;;;;;;;
= maximum;25.565;15.850;13.576;14.174;13.494;18.212;18.350;25.733;32.824;34.427;28.213
minimum;13.446;8.021;7.420;6.213;9.190;9.596;12.160;8.785;24.605;25.583;16.227
- average;20.463;11.087;10.088;8.650;11.193;14.635;15.801;13.820;29.509;30.015;22.067
- end of period;24.565;13.272;13.544;7.648;13.020;9.894;15.580;13.701;25.733;26.735;26.961
;Number of outstanding shares (million);;;;;;;;;
-at period end;1,712;1,935;2,211;2,237;2,233;2,230;2,226;6,180;5,970;5,866;5,792
- shares cum dividend;1,703;1,926;2,201;2,228;2,224;2,220;2,216;6,084;5,873;5,769;5,695
of which: savings shares;:;:;:;:;:;:;0.25;2.52;2.48;2.45;2.42
- average;1,838;2,079;2,231;2,236;2,233;2,229;1,957;6.110;5,927;5,837;5,791
;Dividend;;;;;;;;
- total dividends (€ million);=;1,875;1,170;268;:;601;726;:;706;697;570
- dividend per ordinary share;=;0.9872;0.538;0.120;:;0.270;0.320;:;0.120;0.120;0.100
- dividend per savings share;:;:;:;:;:;-;:;0.120;1.065;0.100"
