"MEMBERS;EXEC.;NON EXEC.;INDEP. AS CODE;INTERNAL CONTROLS &amp; RISKS COMMITTEE;INTERNAL CONTROLS &amp; RISKS COMMITTEE;CORPORATE GOVERNANCE &amp; NOMINATION COMMITTEE;CORPORATE GOVERNANCE &amp; NOMINATION COMMITTEE;ESG COMMITTEE;ESG COMMITTEE;REMUNERATION COMMITTEE;REMUNERATION COMMITTEE;RELATED-PARTIES COMMITTEE;RELATED-PARTIES COMMITTEE
Padoan Pietro Carlo;;x;x;M;100%;;;;
Andreotti Lamberto;;x;x;C;100%;;;;
Orcel Andrea;x;;;;;;;
Cariello Vincenzo;;x;x;M;100%;;;;
Carletti Elena;;x;x;C;100%;M;100%;;
Hedberg Jeffrey Alan;;x;x;M;100%;C;100%;;
Lara Bartolomé Beatriz;;x;x;M;100%;;;;
Molinari Luca;;x;x;M;100%;;;;
Pierdicchi Maria;;x;x;M;100%;M;100%;C;100.00%
Tondi Francesca;;x;x;M;100%;C;100%;;
Wagner Renate;;x;;M;91.67%;;;;
Wolfgring Alexander;;x;;M;91.30%;M;95%;;
Gadhia Jayne-Anne;;x;x;M;90%;C;100%;"
