";ITALY;GERMANY;CENTRAL EUROPE;EASTERN: EUROPE;RUSSIA;CORPORATE CENTRE;
Net interest;6,332;2,689;2,741;1,854;798;(409);
Dividends;125;3;304;6;2;18;
Fees;4,062;1,448;1,151;664;198;(60);
Trading income;384;1,256;17;61;42;85;
Other expenses/income;(40);34;47;6;143;(118);
Revenue;10,864;5,430;4,260;2,591;1,183;(484);
HR costs;(2,320);(1,333);(879);(441);(120);(768);
Non HR costs;(1,735);(987);(684);(306);(70);708;
Recovery of expenses;420;7;59;0; ;55;
Amortisations and depreciations;(259);(95);(121);(106);(38);(458);
Operating Costs;(3,893);(2,408);(1,625);(853);(228);(464);
GROSS OPERATING PROFIT (LOSS);6,970;3,022;2,635;1,737;955;(948);
Loan loss provisions (LLPs);(399);(179);(41);72;(5);3;
OPERATING NET PROFIT;6,572;2,844;2,594;1,810;950;(945);
Other charges and provisions;(488);(192);(244);(80);(23);(13);
Integration costs;(354);(335);(211);(28);(10);(122);
Net income from investments;(151);(188);87;9;(31);3;
PROFIT (LOSS) BEFORE TAX;5,579;2,128;2,226;1,710;886;(1,077);"
