";YEAR;2023;2022;P&amp;L;% 
;NET OPERATING PROFIT (LOSS);9,121;3,692;+5,429;nm. 
;Other charges and provisions;(495);(440);-55;+12.5% 
;Integration costs;(541);(249);-292;nm. 
;Net income from investments;3,815;135;+3,680;nm. 
;PROFIT (LOSS) BEFORE TAX;11,900;3,138;+8,762;nm. 
;Income taxes;(636);(31);-605;nm. 
;Profit (Loss) of discontinued operations;-;-;-;- 
;NET PROFIT (LOSS) FOR THE PERIOD;11,264;3,107;+8,157;nm. 
;Goodwill impairment;-;-;-;- 
;STATED NET PROFIT (LOSS);11,264;3,107;+8,157;nm."
