";YEAR 2022
UniCredit Bank GMBH;245
Zagrebacka Banca DD;225
UniCredit Bank Czech Republic and Slovakia A.S.;271
UniCredit Bulbank AD;160
UniCredit Bank Austria AG;60
AO UniCredit Bank;0
UniCredit Bank Hungary ZRT;140
UniCredit Bank Serbia JSC;49
UniCredit Factoring S.p.A.;49
UniCredit Banka Slovenija D.D.;0
UniCredit Bank A.D. Banja Luka;0
CNP UniCredit Vita S.p.A.;10
Nuova Compagnia di Partecipazioni S.P.A;0
UniCredit Allianz Assicurazioni S.p.A;17
Incontra Assicurazioni S.p.A.;6
Pirta Verwaltungs GMBH;6
UniCredit Myagents S.r.l.;1
Camfin S.p.A.;0
UniCredit Allianz Vita S.p.A.;100
UniCredit Bank SA;47
Total;1,386"
