"Derivatives relative to total assets covered by the KPI;;-0.4%;-1,652
Exposures to financial and non-financial undertakings not subject to articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI;For non-financial undertakings;0.0%;65
Exposures to financial and non-financial undertakings not subject to articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI;For financial undertakings;0.0%;68
Exposures to financial and non-financial undertakings from non-EU countries not subject to articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI;For non-financial undertakings;18.7%;74,322
Exposures to financial and non-financial undertakings from non-EU countries not subject to articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI;For financial undertakings;13.5%;53,604
Taxonomy-aligned exposures to financial and non-financial undertakings subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI;For non-financial undertakings;0.8%;3,073
Taxonomy-aligned exposures to financial and non-financial undertakings subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI;For financial undertakings;0.2%;745
Exposures to other counterparties over total assets covered by the KPI;;67.3%;268,276
insurance or reinsurance undertaking’s investments other than investments held in respect of Life insurance contracts where the investment risk is borne by the policy holders, that are directed at funding, or are associated with, Taxonomy-aligned economic activities;1.0%;3,818
All the investments that are funding economic activities that are not taxonomy-eligible relative to the value of total assets covered by the KPI;87.9%;350,133
All the investments that are funding Taxonomy-eligible economic activities, but not Taxonomy-aligned relative to the value of total assets covered by the KPI;11.2%;44,549"
