;2023;Previous year: 2022;Base year: 2020
Scope 1;;;
Natural gas (in tonnes);33870;59924;51884
Diesel (incl. biodiesel in tonnes);138363;132811;130016
Petrol (incl. bioethanol in tonnes);13789;11575;10847
Other (in tonnes);8223;7371;7780
Scope 2;;;
Electricity (in tonnes);;;
Location-based;47024;47542;49655
Market-based;8255;6057;40795
District heating (in tonnes);1993;2162;933
Scope 1 + 2 (in tonnes);;;
Location-based;243262;261385;251116
Market-based;204494;219900;242255
Location-based;-3.1%;4.10%;-
Market-based;-15.60%;-9.20%;-
