"```
:conomic activities (1);§ pt 3 _ 2 E 2 8 £ 6 ° 2 3 Eg = of;oa 5c £§ 6 2 o# £3 oo —s5 = Oa;~ i) a > 5 #$¢ S;= ad s 2 5 #2 a;~ & ag 2 6 5 8 o re 3 3 $ & is);ce 4 2 g o 2 8 2 (7);< S ad o® Bz S$ > £ § £ Ss —€ <¢ & =;g 4.0 Paq §29N cag $35 Foe $42 edd ota £38 tos 92° Baa sq ase;8 2 8 = 3 3 D 5 § z 4 2 2 eg & so > aa re) SS > i) 85 88 of os
. TAXONOMY-ELIGIBLE ACTIVITIES;;;;;;;;
.1. Environmentally sustainable activities;;;;;;;;
Taxonomy-aligned) none;N;N;N;N;N;N;N;0.00%; 
.2 Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned ictivities);;;;;;;;;;
Freight transport services by road;0.74%;;;;;;;;;;
Manufacture of other low carbon technologies;1.28%;;;;;;;;;;
Transport by motorbikes, passenger cars and light commercial vehicles;1.61%;;;;;;;;;;
Installation, maintenance and repair of renewable energy technologies;0.31%;;;;;;;;;;
Construction of new buildings;0.82%;;;;;;;;;;
Acquisition and ownership of buildings;4.52%;;;;;;;;;;
Installation, maintenance and repair of energy efficiency equipment;0.41%;;;;;;;;;;
Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings);0.00%;;;;;;;;;;
Urban waste water treatment;0.00%;;;;;;;;;;
Treatment of hazardous waste;0.00%;;;;;;;;;;
Remediation of contaminated sites and areas;0.00%;;;;;;;;;;
CapEx of Taxonomy-eligible but not environmentally sustainable activities not Taxonomy-aligned) (A.2);9.69%;;;;;;;;;;
. CapEx of Taxonomy-eligible activities (A.1+A.2);9.69%;;;;;;;;;;
3. TAXONOMY-NON-ELIGIBLE ACTIVITIES;;;;;;;;;;

apEx of Taxonomy-non-eligible activities;;;;;;;;;;
```"
