"Economic activities (1);a g 3 3);s ge g °;aE fF © g §¢ 88 an;© £ ° @ S8;© ~ fe £5 es 8g es 38;iS °F #8 3;s A £ 2 &amp;;2 2 8 i 8 3 6;~ S 8 2 8 g 3 Fa
A. TAXONOMV-ELIGIBLE ACTIVITIES;;;;;;;;
A.1 Environmentally sustainable activities (Taxonomy-aligned);;;;
none;;;;
OpEx of environmentally sustainable activities (Taxonomy-aligned) (A.1);;EURO;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
A.2 Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities);;;;
Freight transport services by road;CCM 6.6.;EUR 4,814,960;2.26%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Manufacture of other low carbon technologies;CCM 3.6.;EUR 1,521,570;0.71%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Transport by motorbikes, passenger cars and light commercial vehicles;CCM 6.5.;EUR 4,028,322;1.89%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Installation, maintenance and repair of renewable energy technologies;CCM 7.6.;EUR 100,522;0.05%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Construction of new buildings;CCM 3.1./ CE 7.1.;EUR 154,779;0.07%;EL;;;EL;
Acquisition and ownership of buildings;CCM 7.7.;EUR 9,416,796;4.41%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Installation, maintenance and repair of energy efficiency equipment;CCM 7.3.;EUR 124,050;0.06%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings);CCM 7.4.;EUR 3,279;0.00%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Urban waste water treatment;WTR 2.2.;EUR 10,979;0.01%;N/EL;N/EL;EL;N/EL;N/EL
Treatment of hazardous waste;CE 2.4./ PPC 2.2.;EUR 0;0.00%;N/EL;N/EL;N/EL;EL;EL;N/EL
Remediation of contaminated sites and areas;PPC 2.4.;EUR 29,160,305;13.67%;N/EL;N/EL;N/EL;EL;N/EL;N/EL
OpEx of Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned) (A.2);;EUR 49,335,561;23.12%;9.45%;0.00%;0.01%;13.67%;0.00%;0.00%
A. OpEx of Taxonomy-eligible activities (A.1+A.2);;EUR 49,335,561;23.12%;9.45%;0.00%;0.01%;13.67%;0.00%;0.00%
B. TAXONOMY-NON-ELIGIBLE ACTIVITIES;;;;;;;;"
