";[Gross] carrying million €;amount which;[Gross] carrying amount million € Of Which;environmentally sustainable (CCM + CCA + WTR + CE + PPC + BIO);environmentally sustainable (CCM + CCA + WTR + CE + PPC + BIO)
;by sector NACE 4 digits level (code and label);;;;
22;13.95 Manufacture of non-wovens and articles made from non-wovens, except apparel;0.0;;;x;x
23;13.96 Manufacture of other technical and industrial textiles;0.0;;;x;x
24;13.99 Manufacture of other textiles n.e.c.; ;;;x;x
25;14.19 Manufacture of other wearing apparel and accessories;5.7;;;x;x
26;15.20 Manufacture of footwear;0.0;;;x;x
27;16.23 Manufacture of other builders' carpentry and joinery;0.0;0.0;x;x
28;16.29 Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials;0.2;;;x;x
29;17.11 Manufacture of pulp;0.1;0.1;x;x
30;17.12 Manufacture of paper and paperboard;0.2;;;x;x
31;17.21 Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;0.3;0.3;x;x
32;17.22 Manufacture of household and sanitary goods and of toilet requisites; ;;;x;x
33;17.24 Manufacture of wallpaper; ;;;x;x
34;17.29 Manufacture of other articles of paper and paperboard; ;;;x;x
35;18.12 Other printing;0.5;;;x;x
36;20.13 Manufacture of other inorganic basic chemicals;0.9;0.0;x;x
37;20.14 Manufacture of other organic basic chemicals; ;;;x;x
38;20.15 Manufacture of fertilisers and nitrogen compounds;0.3;0.0;x;x"
